split,env,T,cap,base_seed,n_replicates,policy,name,alpha,c,K0,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,seconds
val,beta_skewed,50,64,5061000,500,power,power_a0.6667_c1.85783,0.6666666666666666,1.8578281028,-1,posterior_mean_shrunk,0.19735154685378076,0.007997182068767532,0.46653630736470225,0.07593656677007675,0.121414980083704,0.663887854218483,25.0,0.47916666666666674,0.0,-1.0,0.19735154685378076,0.19735154685378076,0.19735154685378076,0.197121503084898,0.19735154685378076,0.17009633406996727
val,tail_b2.0_mu1.0_c1.0,100,64,5364000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.11274183714389802,0.005250031552921769,0.7969351423978805,0.055707000017166136,0.05703483712673187,0.9096769795417786,39.0,0.37755102040816324,0.0,-1.0,0.11274183714389802,0.11202534794807434,0.11187823593616486,0.11181181597709655,0.11202534794807434,0.12467695795930922
val,tail_b2.0_mu1.0_c1.0,100,64,5364000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.11913102930784225,0.005261963988137332,0.7905459502339363,0.06015471589565277,0.058976313412189486,0.9096769795417786,36.0,0.34693877551020413,0.0,-1.0,0.11913102930784225,0.11985641020536422,0.1211226686835289,0.1275020697414875,0.1204036101102829,0.2564522920874879
val,tail_b2.0_mu1.0_c1.0,100,64,5364000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.11904645353555679,0.005374071457937738,0.7906305260062217,0.05695634841918945,0.06209010511636734,0.9096769795417786,38.0,0.3673469387755102,0.0,-1.0,0.11904645353555679,0.11795333445072174,0.11920043587684631,0.1297164077460766,0.1178705837726593,0.20851108292117715
val,tail_b2.0_mu1.0_c1.0,100,64,5364000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.1258669788837433,0.005432469224327561,0.7838100006580353,0.06015471589565277,0.06571226298809052,0.9096769795417786,36.0,0.34693877551020413,0.0,-1.0,0.1258669788837433,0.12445958364009857,0.12764803138375283,0.15462158097326756,0.12455554270744323,0.04544741602148861
val,tail_b8.0_mu1.0_c1.0,100,64,5469000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.17230853176349775,0.005686171302459482,0.29804030173784124,0.0675669747889042,0.10474155697459354,0.47034883350133894,39.0,0.37755102040816324,0.0,-1.0,0.17230853176349775,0.17230853176349775,0.17230853176349775,0.17230853176349775,0.17230853176349775,0.20526920910924673
val,tail_b8.0_mu1.0_c1.0,100,64,5469000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.1743583039571531,0.00552404269179556,0.29599052954418587,0.0729986361861229,0.10135966777103021,0.47034883350133894,36.0,0.34693877551020413,0.0,-1.0,0.1743583039571531,0.1743583039571531,0.17419358374970034,0.17419358374970034,0.1743583039571531,0.17280666693113744
val,tail_b8.0_mu1.0_c1.0,100,64,5469000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.17221623298572378,0.005742018073155634,0.2981326005156152,0.06918612703680992,0.10303010594891385,0.47034883350133894,38.0,0.3673469387755102,0.0,-1.0,0.17221623298572378,0.1723658973877318,0.1721679108743556,0.1721679108743556,0.17326633524941282,0.33923249994404614
val,tail_b8.0_mu1.0_c1.0,100,64,5469000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.1763561348025687,0.005623772300244815,0.29399269869877026,0.0729986361861229,0.1033574986164458,0.47034883350133894,36.0,0.34693877551020413,0.0,-1.0,0.1763561348025687,0.1763561348025687,0.17725036784866824,0.17725036784866824,0.1753087528650649,0.044997959048487246
val,tail_b1.0_mu0.9_c2.0,100,64,5274000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.07314604634046555,0.003198711980243078,0.8219126133322716,0.00784246587753296,0.06530358046293258,0.8950586596727371,39.0,0.37755102040816324,0.0,-1.0,0.07314604634046555,0.07314604634046555,0.07314604634046555,0.07632687479257584,0.07314604634046555,0.1032772499602288
val,tail_b1.0_mu0.9_c2.0,100,64,5274000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.07281711131334305,0.0032546760089015034,0.8222415483593941,0.008593089699745178,0.06422402161359787,0.8950586596727371,36.0,0.34693877551020413,0.0,-1.0,0.07281711131334305,0.07281711131334305,0.07314973503351212,0.08275718539953232,0.07281711131334305,0.29922974994406104
val,tail_b1.0_mu0.9_c2.0,100,64,5274000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.07446725445985794,0.003321585695230821,0.8205914052128792,0.00807500422000885,0.06639225023984908,0.8950586596727371,38.0,0.3673469387755102,0.0,-1.0,0.07446725445985794,0.07443514519929886,0.07443514519929886,0.08602493888139724,0.07443514519929886,0.08820029196795076
val,tail_b1.0_mu0.9_c2.0,100,64,5274000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.07516135793924332,0.0033417736538124496,0.8198973017334938,0.008593089699745178,0.06656826823949814,0.8950586596727371,36.0,0.34693877551020413,0.0,-1.0,0.07516135793924332,0.07516135793924332,0.07467563658952713,0.09725608003139496,0.07451300996541976,0.2941973339766264
val,beta_mostly_mediocre,100,64,5034000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.14644067561626434,0.004672484760036345,0.637716784119606,0.030320602774620058,0.11612007284164429,0.7841574597358704,39.0,0.37755102040816324,0.0,-1.0,0.14644067561626434,0.146244931101799,0.146244931101799,0.14660761106014253,0.14644067561626434,0.09804745903238654
val,beta_mostly_mediocre,100,64,5034000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.14226142287254334,0.004533710893055112,0.6418960368633271,0.03358745205402374,0.1086739708185196,0.7841574597358704,36.0,0.34693877551020413,0.0,-1.0,0.14226142287254334,0.1425940576195717,0.14137219262123107,0.1433238074183464,0.14226142287254334,0.24173941696062684
val,beta_mostly_mediocre,100,64,5034000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.14453010165691377,0.004648282216837279,0.6396273580789567,0.031007182002067566,0.11352291965484619,0.7841574597358704,38.0,0.3673469387755102,0.0,-1.0,0.14453010165691377,0.14491917872428894,0.1443532528281212,0.1491627900004387,0.14445741498470308,0.39861862489487976
val,beta_mostly_mediocre,100,64,5034000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.14334371602535248,0.00449844560859059,0.6408137437105179,0.03358745205402374,0.10975626397132873,0.7841574597358704,36.0,0.34693877551020413,0.0,-1.0,0.14334371602535248,0.14364880776405334,0.14507973462343215,0.16420586657524108,0.14320120120048524,0.09911916602868587
val,beta_skewed,100,64,5064000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.18265177088975906,0.007617563216760515,0.5443823688626289,0.08657622480392456,0.0960755460858345,0.727034139752388,39.0,0.37755102040816324,0.0,-1.0,0.18265177088975906,0.18265177088975906,0.18265177088975906,0.18265177088975906,0.18265177088975906,0.2504715418908745
val,beta_skewed,100,64,5064000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.18332919324934482,0.007852461362799141,0.5437049465030431,0.09493416303396225,0.08839503021538257,0.727034139752388,36.0,0.34693877551020413,0.0,-1.0,0.18332919324934482,0.18332919324934482,0.1841511989980936,0.1841511989980936,0.18332919324934482,0.4644412079360336
val,beta_skewed,100,64,5064000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.18483100997656585,0.007845784509720287,0.5422031297758222,0.09076021540164947,0.09407079457491636,0.727034139752388,38.0,0.3673469387755102,0.0,-1.0,0.18483100997656585,0.18435392688959837,0.1838547276481986,0.18416029243916274,0.18435392688959837,0.1510413329815492
val,beta_skewed,100,64,5064000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.1843530762195587,0.007711870388119998,0.5426810635328293,0.09493416303396225,0.08941891318559647,0.727034139752388,36.0,0.34693877551020413,0.0,-1.0,0.1843530762195587,0.18446177804470063,0.18592406453192234,0.189063258305192,0.18445074486732482,0.2569305000361055
val,beta_rare_excellent,200,64,5052000,500,power,power_a0.2500_c15.535,0.25,15.5349620122,-1,posterior_mean_shrunk,0.18327482192218303,0.005517722885428709,0.298604294732213,0.08117168295383453,0.10210313896834851,0.48187911665439603,59.0,0.28787878787878796,0.0,-1.0,0.18327482192218303,0.18327482192218303,0.1836385812908411,0.1836385812908411,0.18327482192218303,0.1968932079616934
val,beta_rare_excellent,200,64,5052000,500,power,power_a0.3333_c9.69067,0.3333333333333333,9.6906654968,-1,posterior_mean_shrunk,0.18455090421438217,0.005504373623620566,0.2973282124400139,0.08370630449056625,0.10084459972381592,0.48187911665439603,57.0,0.2777777777777778,0.0,-1.0,0.18455090421438217,0.18455090421438217,0.1849694638848305,0.1849694638848305,0.18455090421438217,0.5431549999630079
val,beta_rare_excellent,200,64,5052000,500,power,power_a0.5000_c6.04501,0.5,6.0450098106,-1,posterior_mean_shrunk,0.18082523410022258,0.005481078704956791,0.3010538825541735,0.07588834396004676,0.10493689014017582,0.48187911665439603,64.0,0.31313131313131315,1.0,-1.0,0.18082523410022258,0.18082523410022258,0.18130438123643397,0.18130438123643397,0.18082523410022258,0.33018312498461455
val,beta_rare_excellent,200,64,5052000,500,power,power_a0.6667_c3.77086,0.6666666666666666,3.7708600737,-1,posterior_mean_shrunk,0.18082523410022258,0.005481078704956791,0.3010538825541735,0.07588834396004676,0.10493689014017582,0.48187911665439603,64.0,0.31313131313131315,1.0,-1.0,0.18082523410022258,0.18082523410022258,0.18130438123643397,0.18130438123643397,0.18082523410022258,0.3729233330814168
val,beta_good_common,100,64,5004000,500,power,power_a0.2500_c12.2696,0.25,12.2696422264,-1,posterior_mean_shrunk,0.08168124723434449,0.0033292777852907255,0.8946110398769379,0.015314924120903016,0.06636632311344147,0.9762922871112824,39.0,0.37755102040816324,0.0,-1.0,0.08168124723434449,0.08168124723434449,0.08168124723434449,0.08668315887451172,0.08168124723434449,0.2698131250217557
