diagnostic,key,value
simpson_n,T=500|epsilon|q3,1862.0
simpson_p_search,T=500|epsilon|q3,0.5912996777658431
simpson_slope_q3_minus_q1,T=500|epsilon,
simpson_n,T=500|random|q1,0.0
simpson_p_search,T=500|random|q1,
simpson_n,T=500|random|q2,0.0
simpson_p_search,T=500|random|q2,
simpson_n,T=500|random|q3,622.0
simpson_p_search,T=500|random|q3,0.6028938906752411
simpson_slope_q3_minus_q1,T=500|random,
simpson_n,T=500|sqrt|q1,608.0
simpson_p_search,T=500|sqrt|q1,0.5855263157894737
simpson_n,T=500|sqrt|q2,1481.0
simpson_p_search,T=500|sqrt|q2,0.7272113436866982
simpson_n,T=500|sqrt|q3,311.0
simpson_p_search,T=500|sqrt|q3,0.9292604501607717
simpson_slope_q3_minus_q1,T=500|sqrt,0.3437341343712981
simpson_n,T=500|t23|q1,0.0
simpson_p_search,T=500|t23|q1,
simpson_n,T=500|t23|q2,1279.0
simpson_p_search,T=500|t23|q2,0.4761532447224394
simpson_n,T=500|t23|q3,1135.0
simpson_p_search,T=500|t23|q3,0.7127753303964758
simpson_slope_q3_minus_q1,T=500|t23,
simpson_n,T=1000|pooled|q1,4258.0
simpson_p_search,T=1000|pooled|q1,0.7590418036636919
simpson_n,T=1000|pooled|q2,4275.0
simpson_p_search,T=1000|pooled|q2,0.7071345029239766
simpson_n,T=1000|pooled|q3,4268.0
simpson_p_search,T=1000|pooled|q3,0.7029053420805998
simpson_slope_q3_minus_q1,T=1000|pooled,-0.056136461583092045
simpson_n,T=1000|aggressive|q1,0.0
simpson_p_search,T=1000|aggressive|q1,
simpson_n,T=1000|aggressive|q2,0.0
simpson_p_search,T=1000|aggressive|q2,
simpson_n,T=1000|aggressive|q3,314.0
simpson_p_search,T=1000|aggressive|q3,0.7070063694267515
simpson_slope_q3_minus_q1,T=1000|aggressive,
simpson_n,T=1000|bracket|q1,2052.0
simpson_p_search,T=1000|bracket|q1,0.8182261208576999
simpson_n,T=1000|bracket|q2,223.0
simpson_p_search,T=1000|bracket|q2,0.7130044843049327
simpson_n,T=1000|bracket|q3,109.0
simpson_p_search,T=1000|bracket|q3,0.6880733944954128
simpson_slope_q3_minus_q1,T=1000|bracket,-0.13015272636228703
simpson_n,T=1000|cbrt|q1,1651.0
simpson_p_search,T=1000|cbrt|q1,0.7328891580860085
simpson_n,T=1000|cbrt|q2,425.0
simpson_p_search,T=1000|cbrt|q2,0.6964705882352941
simpson_n,T=1000|cbrt|q3,224.0
simpson_p_search,T=1000|cbrt|q3,0.6741071428571429
simpson_slope_q3_minus_q1,T=1000|cbrt,-0.058782015228865614
simpson_n,T=1000|conservative|q1,72.0
simpson_p_search,T=1000|conservative|q1,0.8055555555555556
simpson_n,T=1000|conservative|q2,2108.0
simpson_p_search,T=1000|conservative|q2,0.6513282732447818
simpson_n,T=1000|conservative|q3,214.0
simpson_p_search,T=1000|conservative|q3,0.6495327102803738
simpson_slope_q3_minus_q1,T=1000|conservative,-0.15602284527518173
simpson_n,T=1000|epsilon|q1,0.0
simpson_p_search,T=1000|epsilon|q1,
simpson_n,T=1000|epsilon|q2,0.0
simpson_p_search,T=1000|epsilon|q2,
simpson_n,T=1000|epsilon|q3,991.0
simpson_p_search,T=1000|epsilon|q3,0.7295660948536832
simpson_slope_q3_minus_q1,T=1000|epsilon,
simpson_n,T=1000|random|q1,0.0
simpson_p_search,T=1000|random|q1,
simpson_n,T=1000|random|q2,0.0
simpson_p_search,T=1000|random|q2,
simpson_n,T=1000|random|q3,309.0
simpson_p_search,T=1000|random|q3,0.7411003236245954
simpson_slope_q3_minus_q1,T=1000|random,
simpson_n,T=1000|sqrt|q1,483.0
simpson_p_search,T=1000|sqrt|q1,0.5900621118012422
simpson_n,T=1000|sqrt|q2,1519.0
simpson_p_search,T=1000|sqrt|q2,0.7867017774851877
simpson_n,T=1000|sqrt|q3,400.0
simpson_p_search,T=1000|sqrt|q3,0.755
simpson_slope_q3_minus_q1,T=1000|sqrt,0.16493788819875776
simpson_n,T=1000|t23|q1,0.0
simpson_p_search,T=1000|t23|q1,
simpson_n,T=1000|t23|q2,0.0
simpson_p_search,T=1000|t23|q2,
simpson_n,T=1000|t23|q3,1707.0
simpson_p_search,T=1000|t23|q3,0.6789689513766842
simpson_slope_q3_minus_q1,T=1000|t23,
policy_fit_n,pooled,82738.0
policy_coef,pooled|f_K,0.06504773347696072
policy_coef_sign,pooled|f_K,1.0
policy_coef,pooled|f_K_over_t,0.16381366410959658
policy_coef_sign,pooled|f_K_over_t,1.0
policy_coef,pooled|f_n_singletons,0.01436799277319585
policy_coef_sign,pooled|f_n_singletons,1.0
policy_fit_n,aggressive,7368.0
policy_coef,aggressive|f_K,0.20674494229074383
policy_coef_sign,aggressive|f_K,1.0
policy_coef,aggressive|f_K_over_t,-0.11114469809323933
policy_coef_sign,aggressive|f_K_over_t,-1.0
policy_coef,aggressive|f_n_singletons,0.017614439614183276
policy_coef_sign,aggressive|f_n_singletons,1.0
policy_fit_n,bracket,11568.0
policy_coef,bracket|f_K,-0.027021957334621413
policy_coef_sign,bracket|f_K,-1.0
policy_coef,bracket|f_K_over_t,-0.02441457258171509
policy_coef_sign,bracket|f_K_over_t,-1.0
policy_coef,bracket|f_n_singletons,-0.016010544619562053
policy_coef_sign,bracket|f_n_singletons,-1.0
policy_fit_n,cbrt,11546.0
policy_coef,cbrt|f_K,-0.4171814297567391
policy_coef_sign,cbrt|f_K,-1.0
policy_coef,cbrt|f_K_over_t,0.3085722741627384
policy_coef_sign,cbrt|f_K_over_t,1.0
policy_coef,cbrt|f_n_singletons,-0.011007147178334944
policy_coef_sign,cbrt|f_n_singletons,-1.0
policy_fit_n,conservative,11678.0
policy_coef,conservative|f_K,0.28008364950511466
policy_coef_sign,conservative|f_K,1.0
policy_coef,conservative|f_K_over_t,-0.09655543788860713
policy_coef_sign,conservative|f_K_over_t,-1.0
policy_coef,conservative|f_n_singletons,0.052115703423641614
policy_coef_sign,conservative|f_n_singletons,1.0
policy_fit_n,epsilon,10138.0
policy_coef,epsilon|f_K,-0.23463205091948772
policy_coef_sign,epsilon|f_K,-1.0
policy_coef,epsilon|f_K_over_t,-0.31589176408405506
policy_coef_sign,epsilon|f_K_over_t,-1.0
policy_coef,epsilon|f_n_singletons,-0.05814395632287975
policy_coef_sign,epsilon|f_n_singletons,-1.0
policy_fit_n,random,7380.0
policy_coef,random|f_K,-0.20614138556744296
policy_coef_sign,random|f_K,-1.0
policy_coef,random|f_K_over_t,-0.03363427061242786
policy_coef_sign,random|f_K_over_t,-1.0
policy_coef,random|f_n_singletons,0.21834727149850117
policy_coef_sign,random|f_n_singletons,1.0
policy_fit_n,sqrt,11800.0
policy_coef,sqrt|f_K,0.32439604601287503
policy_coef_sign,sqrt|f_K,1.0
policy_coef,sqrt|f_K_over_t,0.37832335052849153
policy_coef_sign,sqrt|f_K_over_t,1.0
policy_coef,sqrt|f_n_singletons,-0.003028684438663983
policy_coef_sign,sqrt|f_n_singletons,-1.0
policy_fit_n,t23,11260.0
policy_coef,t23|f_K,0.21018780899529127
policy_coef_sign,t23|f_K,1.0
policy_coef,t23|f_K_over_t,-0.5469220065603244
policy_coef_sign,t23|f_K_over_t,-1.0
policy_coef,t23|f_n_singletons,-0.03525150447581246
policy_coef_sign,t23|f_n_singletons,-1.0
metadata_only,auc,0.6340642189551771
