policy,replicate,budget,timestep,best_arm_pull_share
uniform,2,160,36,0.05555555555555555
uniform,2,160,37,0.05405405405405406
uniform,2,160,38,0.05263157894736842
uniform,2,160,39,0.05128205128205128
uniform,2,160,40,0.05
uniform,2,160,41,0.04878048780487805
uniform,2,160,42,0.047619047619047616
uniform,2,160,43,0.046511627906976744
uniform,2,160,44,0.045454545454545456
uniform,2,160,45,0.044444444444444446
uniform,2,160,46,0.043478260869565216
uniform,2,160,47,0.0425531914893617
uniform,2,160,48,0.041666666666666664
uniform,2,160,49,0.04081632653061224
uniform,2,160,50,0.04
uniform,2,160,51,0.0392156862745098
uniform,2,160,52,0.038461538461538464
uniform,2,160,53,0.03773584905660377
uniform,2,160,54,0.05555555555555555
uniform,2,160,55,0.05454545454545454
uniform,2,160,56,0.05357142857142857
uniform,2,160,57,0.05263157894736842
uniform,2,160,58,0.05172413793103448
uniform,2,160,59,0.05084745762711865
uniform,2,160,60,0.05
uniform,2,160,61,0.04918032786885246
uniform,2,160,62,0.04838709677419355
uniform,2,160,63,0.047619047619047616
uniform,2,160,64,0.046875
uniform,2,160,65,0.046153846153846156
uniform,2,160,66,0.045454545454545456
uniform,2,160,67,0.04477611940298507
uniform,2,160,68,0.04411764705882353
uniform,2,160,69,0.043478260869565216
uniform,2,160,70,0.04285714285714286
uniform,2,160,71,0.04225352112676056
uniform,2,160,72,0.05555555555555555
uniform,2,160,73,0.0547945205479452
uniform,2,160,74,0.05405405405405406
uniform,2,160,75,0.05333333333333334
uniform,2,160,76,0.05263157894736842
uniform,2,160,77,0.05194805194805195
uniform,2,160,78,0.05128205128205128
uniform,2,160,79,0.05063291139240506
uniform,2,160,80,0.05
uniform,2,160,81,0.04938271604938271
uniform,2,160,82,0.04878048780487805
uniform,2,160,83,0.04819277108433735
uniform,2,160,84,0.047619047619047616
uniform,2,160,85,0.047058823529411764
uniform,2,160,86,0.046511627906976744
uniform,2,160,87,0.04597701149425287
uniform,2,160,88,0.045454545454545456
uniform,2,160,89,0.0449438202247191
uniform,2,160,90,0.05555555555555555
uniform,2,160,91,0.054945054945054944
uniform,2,160,92,0.05434782608695652
uniform,2,160,93,0.053763440860215055
uniform,2,160,94,0.05319148936170213
uniform,2,160,95,0.05263157894736842
uniform,2,160,96,0.052083333333333336
uniform,2,160,97,0.05154639175257732
uniform,2,160,98,0.05102040816326531
uniform,2,160,99,0.050505050505050504
uniform,2,160,100,0.05
uniform,2,160,101,0.04950495049504951
uniform,2,160,102,0.049019607843137254
uniform,2,160,103,0.04854368932038835
uniform,2,160,104,0.04807692307692308
uniform,2,160,105,0.047619047619047616
uniform,2,160,106,0.04716981132075472
uniform,2,160,107,0.04672897196261682
uniform,2,160,108,0.05555555555555555
uniform,2,160,109,0.05504587155963303
uniform,2,160,110,0.05454545454545454
uniform,2,160,111,0.05405405405405406
uniform,2,160,112,0.05357142857142857
uniform,2,160,113,0.05309734513274336
uniform,2,160,114,0.05263157894736842
uniform,2,160,115,0.05217391304347826
uniform,2,160,116,0.05172413793103448
uniform,2,160,117,0.05128205128205128
uniform,2,160,118,0.05084745762711865
uniform,2,160,119,0.05042016806722689
uniform,2,160,120,0.05
uniform,2,160,121,0.049586776859504134
uniform,2,160,122,0.04918032786885246
uniform,2,160,123,0.04878048780487805
uniform,2,160,124,0.04838709677419355
uniform,2,160,125,0.048
uniform,2,160,126,0.05555555555555555
uniform,2,160,127,0.05511811023622047
uniform,2,160,128,0.0546875
