policy,replicate,budget,timestep,entropy,normalized_entropy
spruce,0,160,69,2.870688266596256,0.9931899793699079
spruce,0,160,70,2.868811377195642,0.9925406202016671
spruce,0,160,71,2.8671885720067927,0.9919791681377877
spruce,0,160,72,2.8658064693613046,0.9915009934387331
spruce,0,160,73,2.8646524974109524,0.9911017465435199
spruce,0,160,74,2.8637148363051974,0.9907773380645091
spruce,0,160,75,2.8602976300200202,0.9895950658270912
spruce,0,160,76,2.857145794011073,0.9885046054043664
spruce,0,160,77,2.86014316087453,0.9895416231704266
spruce,0,160,78,2.863230177024591,0.9906096574610426
spruce,0,160,79,2.866401330285435,0.9917068011942599
spruce,0,160,80,2.869651436788625,0.9928312608746837
spruce,0,160,81,2.872975618755207,0.9939813489066127
spruce,0,160,82,2.876369283998753,0.9951554765025784
spruce,0,160,83,2.879828106998451,0.996352147135084
spruce,0,160,84,2.87794293194517,0.9956999213277529
spruce,0,160,85,2.8762421732827645,0.9951114992129301
spruce,0,160,86,2.8747177692088597,0.9945840915984112
spruce,0,160,87,2.8756764928668748,0.9949157872204003
spruce,0,160,88,2.876744046737052,0.9952851355117613
spruce,0,160,89,2.8779152946881785,0.9956903594930457
spruce,0,160,90,2.879185361479115,0.9961297724465756
spruce,0,160,91,2.8805496173487795,0.9966017725849444
spruce,0,160,92,2.8820036636578954,0.9971048380834028
spruce,0,160,93,2.8835433195008227,0.9976375224478694
spruce,0,160,94,2.8812411825072894,0.9968410377094464
spruce,0,160,95,2.87909949575092,0.9961000649433935
spruce,0,160,96,2.877112078616452,0.9954124658035809
spruce,0,160,97,2.875273029413158,0.9947761984451452
spruce,0,160,98,2.875285353007821,0.9947804621162903
spruce,0,160,99,2.873709117377333,0.9942351220138687
spruce,0,160,100,2.873939888026429,0.9943149631790977
spruce,0,160,101,2.874265100510922,0.9944274789769721
spruce,0,160,102,2.874681006396409,0.9945713725381898
spruce,0,160,103,2.8751840216688613,0.9947454038789951
spruce,0,160,104,2.8757707182860113,0.9949483869781578
spruce,0,160,105,2.876437816232234,0.9951791870281514
spruce,0,160,106,2.877182176042697,0.9954367178486868
spruce,0,160,107,2.8780007917651673,0.9957199394516636
spruce,0,160,108,2.8788907843302485,0.9960278557474307
spruce,0,160,109,2.879849395303027,0.9963595123830034
spruce,0,160,110,2.8780485806560687,0.9957364732732286
spruce,0,160,111,2.876362114329904,0.9951529959673915
spruce,0,160,112,2.874786202142405,0.9946077677685642
spruce,0,160,113,2.8778494907230296,0.9956675928835363
spruce,0,160,114,2.880936666109556,0.9967356822661885
spruce,0,160,115,2.880839455245842,0.9967020496154927
spruce,0,160,116,2.880818883894978,0.9966949324165346
spruce,0,160,117,2.880872346211947,0.9967134291088107
spruce,0,160,118,2.8809973355456773,0.9967566724505672
spruce,0,160,119,2.8811914399974334,0.9968238279821094
spruce,0,160,120,2.8814523382104107,0.9969140925691005
spruce,0,160,121,2.8795573438514226,0.9962584695151417
spruce,0,160,122,2.8777611572433317,0.995637031596928
spruce,0,160,123,2.8760608176784492,0.9950487544798972
spruce,0,160,124,2.8766201997632868,0.9952422873994288
spruce,0,160,125,2.8785747243617026,0.9959185065027591
spruce,0,160,126,2.8805617175009015,0.9966059589502758
spruce,0,160,127,2.881261432137398,0.9968480436006621
spruce,0,160,128,2.882011730116411,0.9971076288865214
spruce,0,160,129,2.8828109582002055,0.9973841428268513
spruce,0,160,130,2.883657521356751,0.9976770335784416
spruce,0,160,131,2.8834556279881776,0.9976071832666186
spruce,0,160,132,2.8815216816256584,0.9969380837443043
spruce,0,160,133,2.879673778291464,0.9962987530668072
spruce,0,160,134,2.8779095665580527,0.9956883776960295
spruce,0,160,135,2.877979870551803,0.9957127012085873
spruce,0,160,136,2.8781036073923314,0.995755511217435
spruce,0,160,137,2.8782792094427414,0.9958162653574276
spruce,0,160,138,2.8785051602669944,0.9958944389777018
spruce,0,160,139,2.8787799926637816,0.9959895244614415
spruce,0,160,140,2.8791022867882186,0.9961010305760292
spruce,0,160,141,2.8794706683568667,0.9962284818520257
spruce,0,160,142,2.8798838069318595,0.9963714179895188
spruce,0,160,143,2.881342841287363,0.9968762092335923
spruce,0,160,144,2.88283017422119,0.9973907911138519
spruce,0,160,145,2.8824919568089884,0.997273775919776
spruce,0,160,146,2.883064017573189,0.9974716953613281
spruce,0,160,147,2.8836748895421174,0.9976830425581927
spruce,0,160,148,2.8843234711706387,0.9979074364019083
spruce,0,160,149,2.885008694711325,0.998144507477217
spruce,0,160,150,2.8834839531314054,0.9976169830936307
spruce,0,160,151,2.8820235572416184,0.9971117207910228
spruce,0,160,152,2.8806259465935735,0.9966281806913015
spruce,0,160,153,2.8806720119218596,0.9966441182011254
spruce,0,160,154,2.8807599205202177,0.9966745324888785
spruce,0,160,155,2.8808885886987774,0.9967190486235965
spruce,0,160,156,2.8810569640651784,0.9967773025025106
spruce,0,160,157,2.8805548469363687,0.9966035818980803
spruce,0,160,158,2.879465428333827,0.9962266689284716
spruce,0,160,159,2.877856973678156,0.9956701818083367
spruce,0,160,160,2.878198826478969,0.9957884547605544
uniform,1,160,1,-0.0,-0.0
uniform,1,160,2,0.6931471805599453,0.23981246656813146
uniform,1,160,3,1.0986122886681096,0.38009376671593426
uniform,1,160,4,1.3862943611198906,0.4796249331362629
uniform,1,160,5,1.6094379124341005,0.5568273036287807
uniform,1,160,6,1.791759469228055,0.6199062332840658
uniform,1,160,7,1.9459101490553132,0.6732387083908185
