policy,replicate,budget,timestep,best_arm_pull_share
spruce_fast,0,160,83,0.03614457831325301
spruce_fast,0,160,84,0.03571428571428571
spruce_fast,0,160,85,0.03529411764705882
spruce_fast,0,160,86,0.03488372093023256
spruce_fast,0,160,87,0.034482758620689655
spruce_fast,0,160,88,0.03409090909090909
spruce_fast,0,160,89,0.033707865168539325
spruce_fast,0,160,90,0.03333333333333333
spruce_fast,0,160,91,0.03296703296703297
spruce_fast,0,160,92,0.03260869565217391
spruce_fast,0,160,93,0.03225806451612903
spruce_fast,0,160,94,0.031914893617021274
spruce_fast,0,160,95,0.031578947368421054
spruce_fast,0,160,96,0.03125
spruce_fast,0,160,97,0.030927835051546393
spruce_fast,0,160,98,0.030612244897959183
spruce_fast,0,160,99,0.030303030303030304
spruce_fast,0,160,100,0.03
spruce_fast,0,160,101,0.0297029702970297
spruce_fast,0,160,102,0.029411764705882353
spruce_fast,0,160,103,0.02912621359223301
spruce_fast,0,160,104,0.028846153846153848
spruce_fast,0,160,105,0.02857142857142857
spruce_fast,0,160,106,0.02830188679245283
spruce_fast,0,160,107,0.028037383177570093
spruce_fast,0,160,108,0.027777777777777776
spruce_fast,0,160,109,0.027522935779816515
spruce_fast,0,160,110,0.02727272727272727
spruce_fast,0,160,111,0.02702702702702703
spruce_fast,0,160,112,0.026785714285714284
spruce_fast,0,160,113,0.02654867256637168
spruce_fast,0,160,114,0.02631578947368421
spruce_fast,0,160,115,0.02608695652173913
spruce_fast,0,160,116,0.02586206896551724
spruce_fast,0,160,117,0.02564102564102564
spruce_fast,0,160,118,0.025423728813559324
spruce_fast,0,160,119,0.025210084033613446
spruce_fast,0,160,120,0.025
spruce_fast,0,160,121,0.024793388429752067
spruce_fast,0,160,122,0.02459016393442623
spruce_fast,0,160,123,0.024390243902439025
spruce_fast,0,160,124,0.024193548387096774
spruce_fast,0,160,125,0.024
spruce_fast,0,160,126,0.023809523809523808
spruce_fast,0,160,127,0.023622047244094488
spruce_fast,0,160,128,0.0234375
spruce_fast,0,160,129,0.023255813953488372
spruce_fast,0,160,130,0.023076923076923078
spruce_fast,0,160,131,0.022900763358778626
spruce_fast,0,160,132,0.022727272727272728
spruce_fast,0,160,133,0.022556390977443608
spruce_fast,0,160,134,0.022388059701492536
spruce_fast,0,160,135,0.022222222222222223
spruce_fast,0,160,136,0.022058823529411766
spruce_fast,0,160,137,0.021897810218978103
spruce_fast,0,160,138,0.021739130434782608
spruce_fast,0,160,139,0.02158273381294964
spruce_fast,0,160,140,0.02142857142857143
spruce_fast,0,160,141,0.02127659574468085
spruce_fast,0,160,142,0.02112676056338028
spruce_fast,0,160,143,0.02097902097902098
spruce_fast,0,160,144,0.020833333333333332
spruce_fast,0,160,145,0.020689655172413793
spruce_fast,0,160,146,0.02054794520547945
spruce_fast,0,160,147,0.02040816326530612
spruce_fast,0,160,148,0.02027027027027027
spruce_fast,0,160,149,0.020134228187919462
spruce_fast,0,160,150,0.02
spruce_fast,0,160,151,0.019867549668874173
spruce_fast,0,160,152,0.019736842105263157
spruce_fast,0,160,153,0.0196078431372549
spruce_fast,0,160,154,0.01948051948051948
spruce_fast,0,160,155,0.01935483870967742
spruce_fast,0,160,156,0.019230769230769232
spruce_fast,0,160,157,0.01910828025477707
spruce_fast,0,160,158,0.0189873417721519
spruce_fast,0,160,159,0.018867924528301886
spruce_fast,0,160,160,0.01875
