policy,replicate,budget,timestep,entropy,normalized_entropy
spruce_fast,0,160,49,2.3696304511355013,0.9238507747695505
spruce_fast,0,160,50,2.346797947354133,0.9149490380881038
spruce_fast,0,160,51,2.3239448593320904,0.906039276203113
spruce_fast,0,160,52,2.3011451275021355,0.8971503163631732
spruce_fast,0,160,53,2.308886869880453,0.9001685991046225
spruce_fast,0,160,54,2.316691307803651,0.903211325036226
spruce_fast,0,160,55,2.3199546395822055,0.9044836042603991
spruce_fast,0,160,56,2.319830489592963,0.9044352017494952
spruce_fast,0,160,57,2.3170863293787383,0.9033653325896064
spruce_fast,0,160,58,2.3122677901665436,0.9014867227066559
spruce_fast,0,160,59,2.305780636369786,0.8989575679777775
spruce_fast,0,160,60,2.2979365392465247,0.8958993800644596
spruce_fast,0,160,61,2.288980774839276,0.8924077850428284
spruce_fast,0,160,62,2.279110026237832,0.8885594639940212
spruce_fast,0,160,63,2.2684843756678172,0.8844168283746845
spruce_fast,0,160,64,2.2572356917470517,0.8800312899670576
spruce_fast,0,160,65,2.2454736781244486,0.8754456190693508
spruce_fast,0,160,66,2.2332903480199016,0.8706956889901837
spruce_fast,0,160,67,2.2207634059947012,0.8658117945036282
spruce_fast,0,160,68,2.2079588509007384,0.8608196666642562
spruce_fast,0,160,69,2.19493301107905,0.8557412662725309
spruce_fast,0,160,70,2.181734157482589,0.8505954127849893
spruce_fast,0,160,71,2.168403797593626,0.8453982887754316
spruce_fast,0,160,72,2.15497772425943,0.8401638488457935
spruce_fast,0,160,73,2.167022386340826,0.8448597162500983
spruce_fast,0,160,74,2.1789266394281226,0.8495008422250291
spruce_fast,0,160,75,2.1691906419016065,0.8457050567456028
spruce_fast,0,160,76,2.1591549279885127,0.8417924204653194
spruce_fast,0,160,77,2.167935662732578,0.8452157764542093
spruce_fast,0,160,78,2.176657755279129,0.84861626953653
spruce_fast,0,160,79,2.185321324774528,0.8519939461640221
spruce_fast,0,160,80,2.191409597912571,0.854367588793781
spruce_fast,0,160,81,2.195434621722763,0.8559368298388267
spruce_fast,0,160,82,2.19776390020358,0.8568449485406796
spruce_fast,0,160,83,2.1986740135609053,0.8571997755686199
spruce_fast,0,160,84,2.1983804053257305,0.8570853061603564
spruce_fast,0,160,85,2.197055325592451,0.8565686956746854
spruce_fast,0,160,86,2.194839320404758,0.8557047389726762
spruce_fast,0,160,87,2.1918489488553137,0.8545388790929304
spruce_fast,0,160,88,2.188182169703773,0.8531093073390579
spruce_fast,0,160,89,2.1839222220684356,0.8514484762497636
spruce_fast,0,160,90,2.179140496092787,0.8495842187891871
spruce_fast,0,160,91,2.1738987045993534,0.8475405950122945
spruce_fast,0,160,92,2.1682505578352633,0.8453385450000167
spruce_fast,0,160,93,2.162243076704881,0.842996400850891
spruce_fast,0,160,94,2.155917637625149,0.8405302940401149
spruce_fast,0,160,95,2.149310814571821,0.8379544837091589
spruce_fast,0,160,96,2.142455065432217,0.8352816242549711
spruce_fast,0,160,97,2.1353792971435173,0.8325229856611462
spruce_fast,0,160,98,2.1281093352635594,0.8296886365700777
spruce_fast,0,160,99,2.1206683173341703,0.8267875976440097
spruce_fast,0,160,100,2.113077024847141,0.8238279709890248
spruce_fast,0,160,101,2.1053541652803345,0.8208170501128133
spruce_fast,0,160,102,2.0975166131818965,0.8177614139164735
spruce_fast,0,160,103,2.0895796174029924,0.814667007488598
spruce_fast,0,160,104,2.0815569801471305,0.8115392119114558
spruce_fast,0,160,105,2.073461212399656,0.8083829048584829
spruce_fast,0,160,106,2.0653036694410507,0.8052025134270205
spruce_fast,0,160,107,2.057094669471903,0.8020020603867812
spruce_fast,0,160,108,2.048843597841942,0.7987852048157508
spruce_fast,0,160,109,2.0405589989478043,0.795555277928486
spruce_fast,0,160,110,2.049213497330018,0.7989294179897848
spruce_fast,0,160,111,2.0577939600144814,0.8022746936614087
spruce_fast,0,160,112,2.0496397425776647,0.7990955987552673
spruce_fast,0,160,113,2.045744850492521,0.7975770923279129
spruce_fast,0,160,114,2.0416144100539704,0.7959667523706989
spruce_fast,0,160,115,2.048815653590739,0.7987743101557367
spruce_fast,0,160,116,2.0559677012196613,0.8015626878709211
spruce_fast,0,160,117,2.053673817756944,0.80066836866885
spruce_fast,0,160,118,2.0510673412886553,0.7996521784424403
spruce_fast,0,160,119,2.048175575493225,0.7985247621108008
spruce_fast,0,160,120,2.0541837137267986,0.800867162445566
spruce_fast,0,160,121,2.0601614152109464,0.8031976963669311
