policy,replicate,budget,n_arms,task,timestep,selected_arm,reward,cumulative_successes,cumulative_success_rate,instantaneous_regret,cumulative_regret,current_most_pulled_arm,true_best_arm,selected_true_best,entropy,normalized_entropy,best_arm_pull_share,runtime,cost,cumulative_runtime,cumulative_cost,global_log_e,log_path
uniform,0,160,13,task_e9,49,algorithmic,1.0,28,0.5714285714285714,0.45,16.225,,gitlab_oracle_operator,False,2.558365501318614,0.9974331438070034,0.061224489795918366,42.8,0.01849395,3900.7999999999993,1.6735323000000009,0.015068511225949877,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e10,50,junior_reactive,0.0,28,0.56,0.30000000000000004,16.525000000000002,,gitlab_oracle_operator,False,2.5602504930024694,0.9981680478620765,0.06,180.0,0.11364375000000002,4080.7999999999993,1.787176050000001,-0.004561007847273979,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e11,51,domain_expert,0.0,28,0.5490196078431373,0.375,16.900000000000002,,gitlab_oracle_operator,False,2.56245374645454,0.9990270330290394,0.058823529411764705,61.6,0.02160435,4142.4,1.808780400000001,-0.004561007847273979,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e12,52,gitlab_oracle_operator,1.0,29,0.5576923076923077,0.0,16.900000000000002,,gitlab_oracle_operator,True,2.564949357461537,1.0000000000000002,0.07692307692307693,14.9,0.014280000000000001,4157.299999999999,1.823060400000001,0.07879994125935363,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e13,53,baseline,1.0,30,0.5660377358490566,0.19999999999999996,17.1,baseline,gitlab_oracle_operator,False,2.562946274006362,0.9992190553589889,0.07547169811320754,76.9,0.0628203,4234.199999999999,1.885880700000001,0.1139540353426356,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e14,54,planner,1.0,31,0.5740740740740741,0.35,17.450000000000003,,gitlab_oracle_operator,False,2.5613668055713816,0.9986032660334079,0.07407407407407407,25.8,0.0202629,4259.999999999999,1.9061436000000012,0.14791417278376962,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e15,55,cautious,1.0,32,0.5818181818181818,0.4,17.85,,gitlab_oracle_operator,False,2.5601814919359778,0.9981411463303597,0.07272727272727272,18.9,0.021668399999999997,4278.899999999999,1.9278120000000012,0.1807587985383059,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e16,56,explorer,1.0,33,0.5892857142857143,0.675,18.525000000000002,,gitlab_oracle_operator,False,2.559363204145898,0.9978221194506672,0.07142857142857142,23.2,0.02108355,4302.0999999999985,1.9488955500000011,0.1807587985383059,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e17,57,balanced,1.0,34,0.5964912280701754,0.32499999999999996,18.85,,gitlab_oracle_operator,False,2.558886928068076,0.9976364331031234,0.07017543859649122,116.0,0.048011849999999995,4418.0999999999985,1.996907400000001,0.1807587985383059,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e18,58,overthinker,0.0,34,0.5862068965517241,0.32499999999999996,19.175,,gitlab_oracle_operator,False,2.558729571160558,0.9975750841696406,0.06896551724137931,180.0,0.053698949999999995,4598.0999999999985,2.050606350000001,0.1807587985383059,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
