policy,replicate,budget,timestep,cumulative_regret
spruce_fast,0,160,133,55.374999999999986
spruce_fast,0,160,134,55.774999999999984
spruce_fast,0,160,135,56.17499999999998
spruce_fast,0,160,136,56.57499999999998
spruce_fast,0,160,137,56.97499999999998
spruce_fast,0,160,138,57.37499999999998
spruce_fast,0,160,139,57.77499999999998
spruce_fast,0,160,140,58.174999999999976
spruce_fast,0,160,141,58.574999999999974
spruce_fast,0,160,142,58.97499999999997
spruce_fast,0,160,143,59.37499999999997
spruce_fast,0,160,144,59.77499999999997
spruce_fast,0,160,145,60.17499999999997
spruce_fast,0,160,146,60.57499999999997
spruce_fast,0,160,147,60.974999999999966
spruce_fast,0,160,148,61.374999999999964
spruce_fast,0,160,149,61.77499999999996
spruce_fast,0,160,150,62.44999999999996
spruce_fast,0,160,151,62.89999999999996
spruce_fast,0,160,152,63.224999999999966
spruce_fast,0,160,153,63.624999999999964
spruce_fast,0,160,154,63.94999999999997
spruce_fast,0,160,155,64.27499999999996
spruce_fast,0,160,156,64.59999999999997
spruce_fast,0,160,157,64.99999999999997
spruce_fast,0,160,158,65.39999999999998
spruce_fast,0,160,159,65.72499999999998
spruce_fast,0,160,160,66.04999999999998
