test,horizon,cap,reference_cap,policy,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,32,64,phi_k16,0.008894758872964302,0.0073567161119310175,0.010423325488411498,0.0007864444860705614,0.48353124999999997,8,16000,8,-0.004074569878502387,0.02186408762443099,0.005484731344834469,0.14889141029908956,0.109375,3.4234283876935154e-05,0.0607757664273811,0.0004456406268727732,0.019912894511217017,,,False,env_mean_t
capp,200,48,64,phi_k16,0.0017641162524669198,0.00049457217384479,0.002992649989930214,0.0006388438699104963,0.5010000000000001,8,16000,8,-0.002398641727475013,0.005926874232408853,0.0017604310609340772,0.3496728201386603,0.4296875,-0.0011219224118592095,0.008326517706662833,-0.0009382593274640384,0.0052662513211882474,,,False,env_mean_t
capp,200,96,64,phi_k16,0.003799081735589425,0.002212901310255984,0.005373863708798671,0.0007984251247244445,0.49124999999999996,8,16000,8,-0.00530825850969989,0.01290642198087874,0.0038514957457425696,0.35680080683515025,0.2890625,-0.0037918738568926296,0.017028097812688194,-0.0031075560329121782,0.01066176754105254,,,False,env_mean_t
capp,200,128,64,phi_k16,-9.976991063740564e-05,-0.0017880817661953183,0.0016626352820680026,0.0008834439116760755,0.49903125000000004,8,16000,8,-0.0070706444037835665,0.006871104582508756,0.002947984014141215,0.9739468161361576,0.984375,-0.009013372098624482,0.005594836489307958,-0.005880580976954661,0.004896509393511223,,,False,env_mean_t
capp,200,160,64,phi_k16,0.0014233825798582983,-3.162263352496659e-05,0.002922842205486812,0.0007515358260531659,0.4944375,8,16000,8,-0.003021115808077883,0.00586788096779448,0.0018795791276108318,0.4735926022446589,0.4375,-0.0020450728953348533,0.009259681850566548,-0.0018455982767045498,0.004908023405136191,,,False,env_mean_t
capp,200,200,64,phi_k16,0.0025393478521582437,0.0012366754889993898,0.003871516408208481,0.0006722467671643824,0.49006249999999996,8,16000,8,-0.0010143780494503347,0.0060930737537668225,0.001502871290952391,0.13494038991511573,0.0859375,4.813570538245203e-05,0.008065283315195654,0.0001812214040350236,0.00562660391558893,,,False,env_mean_t
capp,200,32,64,phi_k4,0.009127315920122784,0.007449524602388192,0.01075288785010125,0.0008369028336499386,0.48075,8,16000,8,-0.00477064737149341,0.023025279211738976,0.00587745105052301,0.16438160487995337,0.1796875,-0.0010004096563748666,0.05745047648259434,-0.00019453888947318517,0.020969733688347696,,,False,env_mean_t
capp,200,48,64,phi_k4,0.002159623092666152,0.0008628502361105347,0.0034360410056728137,0.0006554216914355906,0.4999375,8,16000,8,-0.0027126432014498037,0.007031889386782108,0.0020604822482193745,0.3294199804354517,0.40625,-0.0017375438810577778,0.012081261573769039,-0.0012934161630004382,0.006258367059912416,,,False,env_mean_t
capp,200,96,64,phi_k4,0.0024852552155934966,0.0009549953954283407,0.004000800213307229,0.000774624361693448,0.49593750000000003,8,16000,8,-0.006796814855703387,0.01176732528689038,0.003925389019014157,0.5467722492251499,0.5234375,-0.004792817545434505,0.021901372769058368,-0.004043157948601946,0.010066017189034028,,,False,env_mean_t
capp,200,128,64,phi_k4,-0.0027514422487729465,-0.004400946436395315,-0.0010821730702078643,0.000847044566431372,0.507625,8,16000,8,-0.010406236434606309,0.004903351937060416,0.0032372137690278614,0.4234716805126903,0.4296875,-0.010370623371263292,0.005109918844806497,-0.008874984169378878,0.0032038216287473918,,,False,env_mean_t
capp,200,160,64,phi_k4,-0.0037124276782415106,-0.005429996002528787,-0.0019567368992953567,0.0008710445873199671,0.5093125000000001,8,16000,8,-0.009828003729427407,0.0024031483729443862,0.002586278156906542,0.19430035497058876,0.2265625,-0.011007203766595988,0.0017700667561435235,-0.008766213638707995,0.0008110570763896236,,,False,env_mean_t
capp,200,200,64,phi_k4,-0.0008405025638785448,-0.00252924716370253,0.0009037737989459856,0.0008784099589882481,0.5049375,8,16000,8,-0.010349815734889446,0.008668810607132357,0.004021490164708214,0.8403980134171004,0.8125,-0.008811136412106391,0.013787306190637474,-0.0077998634513078285,0.006785072181344731,,,False,env_mean_t
capp,200,32,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,48,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,96,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,128,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,160,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,200,64,refine_after_init,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,32,64,always_search,0.028415711213368923,0.02737925583506003,0.02950010025431402,0.0005401018529110287,0.38349999999999995,8,16000,8,0.007178066794209088,0.04965335563252876,0.008981403453362367,0.015843291983945348,0.0078125,0.009352458694608833,0.05285777737553265,0.013034505357104358,0.04559983064581172,,,False,env_mean_t
capp,1000,48,64,always_search,0.010873250707518309,0.010151688952406403,0.011629107152228245,0.00038027515947012473,0.45128125,8,16000,8,0.0022212605614387836,0.019525240853597834,0.0036589281109891533,0.020757531765027985,0.0078125,0.0030090809838551075,0.022346585673497347,0.004596866376232356,0.018050492480397223,,,False,env_mean_t
