test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind
A,beta_good_common_T50_cap64,phi_k16_quality,beta_good_common,A,50,64,3072,19968,same_horizon,35,24,True,0.16471354166666666,0.9872851107535408,1.6598478227500237,24,0.9754735107421876,0.298828125,1.9062891189862259,34,0.9910389811197918,True,0.9456401774088541,0.9754735107421876,,,0.08333333333333333,0.013364955357142856,0.7290273549530601,2.342950402237195,0.7745392628205129,f_n_singletons,oof
A,beta_good_common_T50_cap64,rule_reservoir,beta_good_common,A,50,64,3072,19968,same_horizon,7,5,True,0.490234375,0.4206490472595844,0.42361147339938315,5,0.9592893880208334,0.7841796875,0.6493274138925605,7,0.9816509195963542,True,0.9615493977864582,0.9114263916015624,0.8178576660156249,,0.4547526041666667,0.08244977678571429,0.8163646127705136,1.8672761148123345,0.7152193509615384,est_beta_a,none
A,beta_mostly_mediocre_T1000_cap64,phi_k16,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,62,51,True,0.07291666666666667,1.8555248715693273,3.1988494333513655,51,0.9991272786458333,0.13997395833333334,3.4679288116185982,61,0.9992847493489584,True,0.995425048828125,0.993331298828125,0.9964892578125,,0.9580078125,0.08397387432795696,0.6140482854802518,2.782758435785897,0.9580078125,f_K,oof
A,beta_mostly_mediocre_T1000_cap64,phi_k16_all71,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,71,60,True,0.5013020833333334,4.180084653063008,4.173685965763104,60,0.9999414876302084,0.5227864583333334,4.394006347052044,70,0.9999881184895834,True,0.9953278808593751,0.9903557942708332,0.9950780436197916,0.9094324951171875,0.9583333333333334,0.0760343309859155,0.5697237751093992,2.7783788265802722,0.9583333333333334,f_K,oof
A,beta_mostly_mediocre_T1000_cap64,phi_k16_clock,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,11,0,False,,,,0,,0.875,0.18693863401041338,10,0.9972012532552083,True,0.9972012532552083,,,,0.9583333333333334,0.29924242424242425,1.1925840480329635,2.6860350790865604,0.9583333333333334,f_K,oof
A,beta_mostly_mediocre_T1000_cap64,phi_k16_cs,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,61,50,True,0.0712890625,1.7919276005342468,3.086063773085247,50,0.998831787109375,0.14095052083333334,3.3589394963387127,60,0.9993697916666667,True,0.9959869791666667,0.9926334635416667,0.9958789062500001,,0.9580078125,0.08487021857923495,0.6186489583445478,2.780599765845684,0.9580078125,f_K,oof
A,beta_mostly_mediocre_T1000_cap64,phi_k16_quality,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,35,24,True,0.0380859375,0.7729358924697691,1.9837668769561756,24,0.9918780110677083,0.2021484375,2.272278730053479,34,0.99780712890625,True,0.9950483398437501,0.9918780110677083,,,0.9583333333333334,0.11296502976190477,0.6768488572461276,2.66967286689329,0.9583333333333334,f_K,oof
A,beta_mostly_mediocre_T1000_cap64,rule_reservoir,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,7,5,True,0.053059895833333336,0.2654317910514738,0.5336378750776066,5,0.89144482421875,0.08235677083333333,0.7694189887507719,7,0.9911676432291666,True,0.9871866861979167,0.9071429036458333,0.5958221842447916,,0.9583333333333334,0.14313616071428573,0.5675839657998056,1.676806165692107,0.9583333333333334,f_log_K,none
A,beta_mostly_mediocre_T100_cap64,phi_k16,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,62,51,True,0.0022786458333333335,1.464183364235447,2.690932688241468,51,0.9798348388671876,0.040364583333333336,2.895184222421924,61,0.9908168538411459,True,0.926699462890625,0.9314278564453127,0.9684588216145833,,0.041666666666666664,0.003759240591397849,0.4839605001838345,1.2601731131121938,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T100_cap64,phi_k16_all71,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,71,60,True,0.3548177083333333,3.155575837179658,3.3671555756726588,60,0.9975819091796876,0.4430338541666667,3.5399113159539133,70,0.9982997639973957,True,0.9343778889973958,0.9411280924479166,0.9734261881510416,0.8944749348958333,0.15983072916666666,0.00574475498826291,0.5170546430408058,1.4720901597984513,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T100_cap64,phi_k16_clock,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,11,0,False,,,,0,,0.7083333333333334,0.11716543820027861,10,0.9694366861979167,True,0.9694366861979167,,,,0.08333333333333333,0.026515151515151512,0.8801834841056045,2.0289015090522864,0.7826021634615385,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T100_cap64,phi_k16_cs,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,61,50,True,0.0026041666666666665,1.4227569861244085,2.617598322946128,50,0.9770237630208333,0.037109375,2.8220985202048947,60,0.9893369140624999,True,0.931586669921875,0.9332301839192708,0.9671791178385416,,0.041666666666666664,0.0038208674863387977,0.4892018342809537,1.2601731131121938,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T100_cap64,phi_k16_quality,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,35,24,True,0.016276041666666668,0.9012848364644835,1.67653074554178,24,0.931416015625,0.09635416666666667,1.9087718309596509,34,0.9765797526041669,True,0.9305598958333333,0.931416015625,,,0.041666666666666664,0.0063430059523809515,0.5061080608115774,1.1597783528591206,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T100_cap64,rule_reservoir,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,7,5,True,0.0517578125,0.24609113330473315,0.42711657140859954,5,0.9038154703776043,0.5595703125,0.642404538402728,7,0.9537950846354164,True,0.9473101806640625,0.86154150390625,0.7718280843098959,,0.458984375,0.07152157738095237,0.564933087180372,1.7497558334994543,0.6795622996794872,est_beta_a,none
A,beta_mostly_mediocre_T200_cap64,phi_k16,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,62,51,True,0.0068359375,1.6228766084900432,2.9774729525839776,51,0.9886847330729167,0.0908203125,3.208893160446289,61,0.9948447265624999,True,0.9635462239583333,0.964734619140625,0.9771432291666668,,0.08463541666666667,0.013971144153225805,0.5721154389027362,1.6214843552029714,0.8319844879185745,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T200_cap64,phi_k16_all71,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,71,60,True,0.4583333333333333,3.4986717308034954,3.599019124800427,60,0.9984016927083335,0.5299479166666666,3.8094549484871836,70,0.9987850748697916,True,0.9531107584635417,0.962426025390625,0.976087646484375,0.8453311360677084,0.14127604166666666,0.019256161971830985,0.5648693418247904,1.87616165933914,0.8416284309432522,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T200_cap64,phi_k16_clock,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,11,0,False,,,,0,,0.8333333333333334,0.1449188594876812,10,0.9776007893880209,True,0.9776007893880209,,,,0.2916666666666667,0.06818181818181818,1.1845907249617789,2.485075078818814,0.8644011695261212,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T200_cap64,phi_k16_cs,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,61,50,True,0.006184895833333333,1.5696925612873385,2.9060234416912087,50,0.9896292317708333,0.08951822916666667,3.134038086641085,60,0.9941817220052084,True,0.9687358805338542,0.9612653808593751,0.9785098470052083,,0.08463541666666667,0.014184170081967212,0.574118754919565,1.6024045571704675,0.8306824045852411,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T200_cap64,phi_k16_quality,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,35,24,True,0.009440104166666666,0.8897355582323935,1.7722743296162324,24,0.9612314453125,0.18359375,2.0267648425743876,34,0.9834165039062499,True,0.9688650716145834,0.9612314453125,,,0.08463541666666667,0.017764136904761904,0.6020570959288754,1.4487121057934753,0.8264788095221677,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T200_cap64,rule_reservoir,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,7,5,True,0.1171875,0.2503568072924601,0.4506078472812906,5,0.8730541178385417,0.4768880208333333,0.6835983234229537,7,0.9582465006510416,True,0.9455574951171875,0.8569019368489583,0.6198140055338542,,0.6998697916666666,0.10737537202380952,0.6542312716348808,1.9444511862745344,0.7687594242474394,f_log_K,none
A,beta_mostly_mediocre_T500_cap64,phi_k16,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,62,51,True,0.008138020833333334,1.8344460094674648,3.166935125124793,51,0.9971453450520834,0.0791015625,3.3989600579300236,61,0.9986573079427083,True,0.9857645670572917,0.9891570638020832,0.98927587890625,,0.8264973958333334,0.07861328125,0.6820735645867751,2.720951352598585,0.9135951278309966,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T500_cap64,phi_k16_all71,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,71,60,True,0.5813802083333334,4.0474424863190634,3.9158917719231416,60,0.9996114095052083,0.7060546875,4.120769094355526,70,0.9998013509114584,True,0.9859332682291666,0.98730712890625,0.9873665364583332,0.8922823486328124,0.8232421875,0.07323301789906105,0.6322142606243961,2.71855973250621,0.9132696069976632,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T500_cap64,phi_k16_clock,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,11,0,False,,,,0,,0.9583333333333334,0.17043725447925767,10,0.995572265625,True,0.995572265625,,,,0.875,0.2916666666666667,1.3104042287306648,2.841142286712407,0.9135951278309966,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T500_cap64,phi_k16_cs,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,61,50,True,0.008463541666666666,1.783217794774994,3.071631190858902,50,0.9968623860677084,0.08430989583333333,3.296919479269911,60,0.9982266438802083,True,0.9854537760416666,0.9890336914062499,0.988672119140625,,0.8219401041666666,0.07937905566939889,0.6845978160886155,2.7167498578417097,0.9135951278309966,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T500_cap64,phi_k16_quality,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,35,24,True,0.013997395833333334,0.8544595905141763,1.9037272009146153,24,0.9897645670572917,0.22233072916666666,2.1802267570118126,34,0.994863525390625,True,0.9868582356770834,0.9897645670572917,,,0.8447265625,0.10705915178571429,0.7593909527312297,2.711241944933279,0.9135951278309966,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T500_cap64,rule_reservoir,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,7,5,True,0.134765625,0.2761086723505098,0.5014118376227157,5,0.8973487955729166,0.2610677083333333,0.7316034848118386,7,0.9757356770833332,True,0.9728592122395834,0.8887301432291665,0.5892164306640625,,0.875,0.13169642857142858,0.6304844406076349,1.794625505535455,0.9101323775085115,f_log_K,none
