policy,reference,level,test,family,horizon,cell,env_id,cap,source_test,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,regret,regret_ref,k_final,k_final_deployed,k_final_ref,search_frac,search_frac_ref
phi_k1,always_search,cell,A,A,50,beta_rare_excellent_T50_cap34,beta_rare_excellent,34,capmatch,0.0009409143887023674,-0.0008039331591629888,0.0027012819506478975,0.000892417625253214,0.4975,1,2000,1,,,,,,,,,,,,False,none,0.1664324649693299,0.1654915505806275,32.649,34.4815,34.0,0.6385208333333332,0.6666666666666665
phi_k1,always_search,cell,A,A,100,beta_skewed_T100_cap63,beta_skewed,63,capmatch,-6.439310312271118e-05,-0.0009487281583249568,0.0008128732565790411,0.0004470723889446489,0.49975,1,2000,1,,,,,,,,,,,,False,none,0.16776238939352334,0.16782678249664604,62.5905,63.4975,63.0,0.6182704081632653,0.6224489795918368
phi_k1,always_search,cell,A,A,200,beta_skewed_T200_cap64,beta_skewed,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.15335274867713453,0.15335274867713453,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,A,A,50,beta_skewed_T50_cap32,beta_skewed,32,capmatch,0.0013457954311743379,-0.0016170038679847482,0.004387507748045027,0.0015235332902088705,0.501,1,2000,1,,,,,,,,,,,,False,none,0.17878372541675344,0.1774379299855791,30.3545,32.0275,32.0,0.59071875,0.625
phi_k1,always_search,cell,A,B,100,tail_b0.5_mu1.0_c1.0_T100_cap28,tail_b0.5_mu1.0_c1.0,28,capmatch,0.00011065497994422913,-0.0005730635777115821,0.0007772042706608772,0.0003469941987228202,0.5005,1,2000,1,,,,,,,,,,,,False,none,0.019983770728111267,0.01987311574816704,27.529,28.2255,28.0,0.26050000000000006,0.2653061224489796
phi_k1,always_search,cell,A,B,200,tail_b0.5_mu1.0_c1.0_T200_cap63,tail_b0.5_mu1.0_c1.0,63,capmatch,-1.5053838491439819e-05,-0.0002337043464183807,0.00020498081520199768,0.00011275052977249839,0.50075,1,2000,1,,,,,,,,,,,,False,none,0.011056408554315568,0.011071462392807006,61.8545,62.616,63.0,0.3022954545454545,0.308080808080808
phi_k1,always_search,cell,A,B,50,tail_b0.5_mu1.0_c1.0_T50_cap14,tail_b0.5_mu1.0_c1.0,14,capmatch,3.3648431301116946e-05,-0.0008771971620619295,0.0009443872712552546,0.0004641339512528882,0.50025,1,2000,1,,,,,,,,,,,,False,none,0.032412726491689685,0.03237907806038857,13.7275,14.285,14.0,0.24432291666666667,0.25
phi_k1,always_search,cell,A,B,100,tail_b1.0_mu0.9_c2.0_T100_cap31,tail_b1.0_mu0.9_c2.0,31,capmatch,-0.0009340834468603134,-0.002216258840635419,0.0003093826916068791,0.0006396862438328973,0.5055000000000001,1,2000,1,,,,,,,,,,,,False,none,0.06740667267143727,0.06834075611829758,30.0195,31.4235,31.0,0.28591326530612254,0.2959183673469389
phi_k1,always_search,cell,A,B,200,tail_b1.0_mu0.9_c2.0_T200_cap64,tail_b1.0_mu0.9_c2.0,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.05356174266338348,0.05356174266338348,63.995,63.995,64.0,0.3131060606060606,0.31313131313131315
phi_k1,always_search,cell,A,B,50,tail_b1.0_mu0.9_c2.0_T50_cap16,tail_b1.0_mu0.9_c2.0,16,capmatch,-0.0008823111057281494,-0.0021440849870443344,0.00035833941027522075,0.0006453759392165202,0.50225,1,2000,1,,,,,,,,,,,,False,none,0.08533848077058792,0.08622079187631607,15.524,16.4465,16.0,0.28175,0.2916666666666667
phi_k1,always_search,cell,A,B,100,tail_b2.0_mu1.0_c1.0_T100_cap48,tail_b2.0_mu1.0_c1.0,48,capmatch,-0.003209687456488609,-0.005745611498132347,-0.0007316526375710973,0.0012626030479122154,0.50675,1,2000,1,,,,,,,,,,,,False,none,0.10683338451385498,0.11004307197034359,44.6045,47.5165,48.0,0.4347397959183673,0.4693877551020407
phi_k1,always_search,cell,A,B,200,tail_b2.0_mu1.0_c1.0_T200_cap64,tail_b2.0_mu1.0_c1.0,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.09076658624410629,0.09076658624410629,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,A,B,50,tail_b2.0_mu1.0_c1.0_T50_cap23,tail_b2.0_mu1.0_c1.0,23,capmatch,-0.0007289301231503487,-0.0035422407638281577,0.002033395525254309,0.0014149169094479711,0.498,1,2000,1,,,,,,,,,,,,False,none,0.14404194109141827,0.1447708712145686,21.672,23.1085,23.0,0.4098333333333334,0.4375
phi_k1,always_search,cell,A,B,100,tail_b8.0_mu1.0_c1.0_T100_cap64,tail_b8.0_mu1.0_c1.0,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.1813411211729981,0.1813411211729981,63.993,63.993,64.0,0.6325816326530613,0.6326530612244898
phi_k1,always_search,cell,A,B,200,tail_b8.0_mu1.0_c1.0_T200_cap64,tail_b8.0_mu1.0_c1.0,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.1765382099557901,0.1765382099557901,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,A,B,50,tail_b8.0_mu1.0_c1.0_T50_cap34,tail_b8.0_mu1.0_c1.0,34,capmatch,0.001386036016047001,-0.0007277037529740476,0.0034659536272054524,0.0010900281025828054,0.494,1,2000,1,,,,,,,,,,,,False,none,0.1742537013865076,0.1728676653704606,32.3975,34.0,34.0,0.63328125,0.6666666666666665
phi_k1,always_search,cell,C,C,100,mix_broad_low_narrow_high_T100_cap42,mix_broad_low_narrow_high,42,capmatch,-0.0008997500240802765,-0.0024222014568746086,0.0006046286173164842,0.0007669284850934071,0.50475,1,2000,1,,,,,,,,,,,,False,none,0.05996082314103842,0.0608605731651187,39.3965,42.3495,42.0,0.3815969387755102,0.40816326530612235
phi_k1,always_search,cell,C,C,200,mix_broad_low_narrow_high_T200_cap64,mix_broad_low_narrow_high,64,C,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.0521647117137909,0.0521647117137909,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,C,C,50,mix_broad_low_narrow_high_T50_cap21,mix_broad_low_narrow_high,21,capmatch,-0.0021794659793376923,-0.004410548556223512,6.29412904381726e-06,0.001129189688723002,0.50375,1,2000,1,,,,,,,,,,,,False,none,0.0908570437580347,0.0930365097373724,19.7585,21.353,21.0,0.36996874999999996,0.39583333333333326
phi_k1,always_search,cell,C,C,100,mix_bulk_half_tiny_cluster_high_T100_cap41,mix_bulk_half_tiny_cluster_high,41,capmatch,-0.0036071431785821913,-0.006683177278190851,-0.0005657529745250963,0.001570362812518547,0.50025,1,2000,1,,,,,,,,,,,,False,none,0.12749729500710963,0.13110443818569184,38.8775,41.1945,41.0,0.3763010204081633,0.39795918367346944
phi_k1,always_search,cell,C,C,200,mix_bulk_half_tiny_cluster_high_T200_cap64,mix_bulk_half_tiny_cluster_high,64,C,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.07372403886914253,0.07372403886914253,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,C,C,50,mix_bulk_half_tiny_cluster_high_T50_cap20,mix_bulk_half_tiny_cluster_high,20,capmatch,-0.003385538384318352,-0.006790170988067985,-6.245486959815075e-05,0.0017309434687264168,0.503,1,2000,1,,,,,,,,,,,,False,none,0.1907437735795975,0.19412931196391583,19.1235,20.2805,20.0,0.3567395833333334,0.375
