test,horizon,cap,policy,regret,regret_se_envs,k_final,search_frac,n_envs,n_episodes,params_tuned,params_cap,tau_cap
capp,1000,384,always_search,0.08150033004349097,0.02209626504041912,384.0,0.38276553106212424,8,16000,True,[],[]
capp,1000,384,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,384,fixed_K_star,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,384,level_star,0.07586840138211846,0.0204738538986163,160.9769375,0.15929552855711424,8,16000,True,[],[]
capp,1000,384,p3_star,0.07723786376789211,0.020593922488051565,216.0,0.21442885771543085,8,16000,True,[],[]
capp,1000,384,phi_k16,0.08026703994302078,0.02192495605406473,228.164125,0.22661735971943886,8,16000,True,[],[]
capp,1000,384,phi_k4,0.08096257965033875,0.022237734414550365,314.82475,0.3134516533066132,8,16000,True,[],[]
capp,1000,384,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,512,always_search,0.09121442518453114,0.025939130567034712,512.0,0.5110220440881763,8,16000,True,[],[]
capp,1000,512,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,512,fixed_K_star,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,512,level_star,0.07586840138211846,0.0204738538986163,160.9769375,0.15929552855711424,8,16000,True,[],[]
capp,1000,512,p3_star,0.07723786376789211,0.020593922488051565,216.0,0.21442885771543085,8,16000,True,[],[]
capp,1000,512,phi_k16,0.08783031931775623,0.025711430814796588,297.578625,0.2961709669338677,8,16000,True,[],[]
capp,1000,512,phi_k4,0.09000671000475996,0.026295417915531003,409.5485,0.4083652304609218,8,16000,True,[],[]
capp,1000,512,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,1000,always_search,0.3460257486591254,0.04347337310990676,1000.0,1.0,8,16000,True,[],[]
capp,1000,1000,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,1000,fixed_K_star,0.07799870536569506,0.021946417751306544,256.0,0.2545090180360721,8,16000,True,[],[]
capp,1000,1000,level_star,0.07586840138211846,0.0204738538986163,160.9769375,0.15929552855711424,8,16000,True,[],[]
capp,1000,1000,p3_star,0.07740369853470475,0.020957332652885897,240.0,0.23847695390781562,8,16000,True,[],[]
capp,1000,1000,phi_k16,0.14172894472815098,0.040761073613122555,526.980125,0.5260321893787575,8,16000,True,[],[]
capp,1000,1000,phi_k4,0.1535451637383376,0.04153151375209486,380.365375,0.379123622244489,8,16000,True,[],[]
capp,1000,1000,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
