level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,100,64,5004000,0.5,3.0,1.0,1,2000,0.09804755449295044,0.0018159449335409376,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.5,3.0,2.0,1,2000,0.1025168343782425,0.0018675416296192388,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,3.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,0.0,1,2000,0.07925091549754143,0.0016375547327185857,40.0,0.38775510204081615,False
env,val,beta_good_common,100,64,5004000,0.5,3.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,1.0,1,2000,0.10249122235178948,0.0018678812418495955,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,0.0,1,2000,0.09790436732769013,0.0018154729623605368,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,1.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,0.0,1,2000,0.07413223218917847,0.001500858992201495,32.0,0.3061224489795918,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,1.0,1,2000,0.09967440125346184,0.0018501693921910843,63.0,0.6224489795918368,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,2.0,1,2000,0.10249122235178948,0.0018678812418495955,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
