test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned,d_regret_vs_phi_k16,d_regret_vs_phi_k16_lo,d_regret_vs_phi_k16_hi,d_regret_vs_phi_k16_win
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,phi_k16,learned,1,1,1000,1,True,True,0.14639556192606687,0.13999887481331824,0.15296712853014469,0.003286462248422936,0.45363625360280274,0.11341136461496353,0.032984197311103344,128.0,0.12625250501002003,49.29,0.0,0.015475038000000002,0.361,871.216,128.688,0.6000318155288696,0.4866204509139061,0.4866204509139061,1.0,-0.07406237293034793,-0.08097686860710382,-0.06712423227727413,0.0035390815411790247,0.7355,,,1,False,True,0,-0.015682651303708554,-0.020705301873385904,-0.010635414812713863,0.0025842331586382133,0.558,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,phi_k16_quality,learned,1,1,1000,1,True,True,0.14639556192606687,0.13999887481331824,0.15296712853014469,0.003286462248422936,0.45363625360280274,0.11341136461496353,0.032984197311103344,128.0,0.12625250501002003,49.29,0.0,0.015475038000000002,0.361,872.0,128.0,0.6000318155288696,0.4866204509139061,0.4866204509139061,1.0,-0.07406237293034793,-0.08097686860710382,-0.06712423227727413,0.0035390815411790247,0.7355,,,1,False,True,0,-0.015682651303708554,-0.020705301873385904,-0.010635414812713863,0.0025842331586382133,0.558,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,refine_after_init,baseline,1,1,1000,1,True,True,0.32295475592836737,0.31557313427329065,0.3300605922937393,0.0037428659271541865,0.2770770596005023,0.32068953014165164,0.002265225786715746,8.0,0.006012024048096194,412.323,0.0,0.326859508,1.835,,,0.6000318155288696,0.4866204509139061,0.279342285387218,0.0,0.10249682107195258,0.09592058900743723,0.10947796143591404,0.0034495025178357267,0.1855,,,1,False,True,0,0.16087654269859195,0.15298225097358226,0.16877312548458576,0.003999509319691022,0.10400000000000001,,,1,False,True,0,0.1765591940023005,0.1683243347933516,0.1849203170068562,0.10149999999999999
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,always_search,baseline,1,1,1000,1,True,True,0.21756412479281426,0.21105414852499962,0.22389370575547218,0.0033126970926602895,0.38277818048000334,0.20977242901921272,0.007791695773601532,32.0,0.03006012024048095,207.093,0.0,0.11637584200000001,2.552,,32.0,0.6003423052728176,0.3905698762536049,0.3905698762536049,1.0,-0.0022395081371068956,-0.0036287836264818907,-0.0009002942315419209,0.000705659382144207,0.511,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,cp0,reference,1,1,1000,1,True,True,0.21980363292992114,0.2132583674043417,0.2263894572854042,0.0033765308483822325,0.38053867234289646,0.2115180547684431,0.008285578161478043,30.816,0.02887374749498997,189.528,0.0,0.106244716,3.312,,,0.6003423052728176,0.3905698762536049,0.3888242505043745,0.0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0022395081371068956,0.0009002942315419207,0.0036287836264818902,0.000705659382144207,0.489,,,1,False,True,0,0.0022395081371068956,0.0009285799216479069,0.003672941439971328,0.489
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,p3_star,reference,1,1,1000,1,True,True,0.21756412479281426,0.21105414852499962,0.22389370575547218,0.0033126970926602895,0.38277818048000334,0.20977242901921272,0.007791695773601532,32.0,0.03006012024048095,207.093,0.0,0.11637584200000001,2.552,,32.0,0.6003423052728176,0.3905698762536049,0.3905698762536049,1.0,-0.0022395081371068956,-0.0036287836264818907,-0.0009002942315419209,0.000705659382144207,0.511,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,phi_k16,learned,1,1,1000,1,True,True,0.21756412479281426,0.21105414852499962,0.22389370575547218,0.0033126970926602895,0.38277818048000334,0.20977242901921272,0.007791695773601532,32.0,0.03006012024048095,207.093,0.0,0.11637584200000001,2.552,968.0,32.0,0.6003423052728176,0.3905698762536049,0.3905698762536049,1.0,-0.0022395081371068956,-0.0036287836264818907,-0.0009002942315419209,0.000705659382144207,0.511,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,phi_k16_quality,learned,1,1,1000,1,True,True,0.21756412479281426,0.21105414852499962,0.22389370575547218,0.0033126970926602895,0.38277818048000334,0.20977242901921272,0.007791695773601532,32.0,0.03006012024048095,207.093,0.0,0.11637584200000001,2.552,968.0,32.0,0.6003423052728176,0.3905698762536049,0.3905698762536049,1.0,-0.0022395081371068956,-0.0036287836264818907,-0.0009002942315419209,0.000705659382144207,0.511,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap32,tail_b8.0_mu1.0_c1.0,32,10477000,refine_after_init,baseline,1,1,1000,1,True,True,0.3208935487195849,0.3138974539935589,0.3277813769876957,0.003581798152977037,0.27944875655323265,0.31903418732434513,0.00185936139523983,8.0,0.006012024048096194,419.289,0.0,0.33199214199999993,1.88,,,0.6003423052728176,0.3905698762536049,0.2813081179484725,0.0,0.1010899157896638,0.09454887844622135,0.10773003324866294,0.0034162854495765876,0.19,,,1,False,True,0,0.10332942392677069,0.09669567327946425,0.11002075262367725,0.0034490724391610865,0.184,,,1,False,True,0,0.10332942392677069,0.09661876339856536,0.10989515261854976,0.184
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap64,tail_b8.0_mu1.0_c1.0,64,10478000,always_search,baseline,1,1,1000,1,True,True,0.18026398530602455,0.17361444011330604,0.18699905537068845,0.0033902007793074115,0.42406071710586546,0.16434912031888962,0.015914864987134934,64.0,0.062124248496993974,118.685,0.0,0.050628404,1.293,,64.0,0.6043247024118901,0.4399755820930004,0.4399755820930004,1.0,-0.0454701856225729,-0.05119150737300515,-0.039934809785336256,0.002871218999208614,0.645,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap64,tail_b8.0_mu1.0_c1.0,64,10478000,cp0,reference,1,1,1000,1,True,True,0.22573417092859746,0.21898704320192336,0.23256983757019042,0.003434410678514234,0.3785905314832926,0.21711499394476413,0.008619176983833313,30.816,0.02887374749498997,189.532,0.0,0.107316728,2.987,,,0.6043247024118901,0.4399755820930004,0.3872097084671259,0.0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.0454701856225729,0.039934809785336256,0.05119150737300515,0.002871218999208614,0.355,,,1,False,True,0,0.0454701856225729,0.03989147959947586,0.051057664505206046,0.355
