env_id,family,horizon,rule,K,regret,regret_se,k_final,alpha,c,b,beta,is_mixture
beta_skewed,beta,200,oracle_beta_c1.5,80.0,0.16379631596803665,0.0047667850674869994,80.0,,,,3.0,False
beta_rare_excellent,beta,1000,oracle_beta_c1.0,501.0,0.1955814333818853,0.004047026622618159,501.0,,,,9.0,False
beta_rare_excellent,beta,1000,oracle_beta_c1.5,752.0,0.18139709313586355,0.003924395829746397,752.0,,,,9.0,False
beta_skewed,beta,200,oracle_beta_c2.0,106.0,0.16043143322318792,0.004932559409145009,106.0,,,,3.0,False
beta_skewed,beta,200,oracle_beta_c3.0,160.0,0.1484225705564022,0.004658780372975352,160.0,,,,3.0,False
beta_uniform,beta,200,ceiling,48.0,0.033081671595573424,0.0011868936493342017,48.0,,,,1.0,False
beta_uniform,beta,200,pooled_K,48.0,0.033081671595573424,0.0011868936493342017,48.0,,,,1.0,False
beta_mostly_mediocre,beta,1000,oracle_beta_c0.5,232.0,0.10645006927847862,0.002494251255288497,232.0,,,,8.0,False
beta_mostly_mediocre,beta,1000,oracle_beta_c0.75,348.0,0.11778073567152024,0.0025460684060560094,348.0,,,,8.0,False
beta_rare_excellent,beta,1000,oracle_beta_c2.0,1000.0,0.3806918165339157,0.003851365308253135,1000.0,,,,9.0,False
beta_rare_excellent,beta,1000,oracle_beta_c3.0,1000.0,0.3806918165339157,0.003851365308253135,1000.0,,,,9.0,False
beta_uniform,beta,200,oracle_beta_c0.5,7.0,0.12102604430913926,0.003502181659034107,7.0,,,,1.0,False
beta_uniform,beta,200,oracle_beta_c0.75,11.0,0.08460257568955422,0.0026641413394989303,11.0,,,,1.0,False
beta_mostly_mediocre,beta,1000,level_star,,0.10246283569931984,0.002234841860025397,143.687,0.5,4.0,2.0,8.0,False
beta_mostly_mediocre,beta,1000,p3_star,,0.1067813493013382,0.002519857903306913,240.0,0.5,7.5846201147,,8.0,False
beta_uniform,beta,200,level_star,,0.031916366577148435,0.0012028573638094473,43.987,0.5,3.0,2.0,1.0,False
beta_uniform,beta,200,p3_star,,0.03492538833618164,0.0012459469893925854,76.0,0.3333333333333333,12.9269291522,,1.0,False
beta_uniform,beta,200,oracle_beta_c1.0,14.0,0.07011143893003463,0.0021882403497312524,14.0,,,,1.0,False
beta_uniform,beta,200,oracle_beta_c1.5,21.0,0.049774376273155216,0.0016659327270874675,21.0,,,,1.0,False
beta_uniform,beta,200,oracle_beta_c2.0,28.0,0.04245838677883148,0.0015502668714890795,28.0,,,,1.0,False
beta_uniform,beta,200,oracle_beta_c3.0,42.0,0.03378783309459686,0.0012755579943428874,42.0,,,,1.0,False
beta_moderately_rare,beta,1000,oracle_beta_c2.0,632.0,0.12276275837421417,0.003285656751721214,632.0,,,,5.0,False
beta_moderately_rare,beta,1000,oracle_beta_c3.0,949.0,0.25461872227489946,0.00459129975464071,949.0,,,,5.0,False
beta_uniform,beta,1000,oracle_beta_c0.5,16.0,0.06180245965719223,0.001862047687048148,16.0,,,,1.0,False
beta_uniform,beta,1000,oracle_beta_c0.75,24.0,0.04115451371669769,0.001322077831747133,24.0,,,,1.0,False
tail_b0.5_mu0.8_c1.0,tail,200,ceiling,16.0,0.02572199159860611,0.0010992379011843126,16.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,pooled_K,48.0,0.02783019983768463,0.0011518041656139667,48.0,,,,0.5,False
beta_uniform,beta,1000,oracle_beta_c1.0,32.0,0.030633406221866607,0.000995752884816858,32.0,,,,1.0,False
beta_uniform,beta,1000,oracle_beta_c1.5,47.0,0.021452562391757964,0.0007134925821843235,47.0,,,,1.0,False
beta_skewed,beta,1000,oracle_beta_c0.5,89.0,0.15790220579504965,0.003493708195677459,89.0,,,,3.0,False
beta_skewed,beta,1000,oracle_beta_c0.75,133.0,0.12580521327257158,0.0030884275815620914,133.0,,,,3.0,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c0.5,3.0,0.1112932209786959,0.004436836187376972,3.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c0.75,4.0,0.0780215952587314,0.003393583187382655,4.0,,,,0.5,False
beta_skewed,beta,1000,ceiling,256.0,0.0913048831820488,0.0028419608117744646,256.0,,,,3.0,False
beta_skewed,beta,1000,pooled_K,192.0,0.10778500343859196,0.0031339485850833257,192.0,,,,3.0,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c1.0,6.0,0.04882659587264061,0.002311812828700904,6.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c1.5,9.0,0.03289179712533951,0.0014847317794259394,9.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,level_star,,0.027261053621768953,0.0011386954106844854,46.085,0.5,3.0,2.0,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,p3_star,,0.029087039470672607,0.0012906330397508517,76.0,0.3333333333333333,12.9269291522,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c2.0,12.0,0.02869343686103821,0.0011880369687571836,12.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,200,oracle_beta_c3.0,18.0,0.025107216119766237,0.0010398403650023636,18.0,,,,0.5,False
beta_mostly_mediocre,beta,1000,oracle_beta_c1.0,464.0,0.1325117141008377,0.0028146924974727593,464.0,,,,8.0,False
beta_mostly_mediocre,beta,1000,oracle_beta_c1.5,696.0,0.1555228907763958,0.002961353329452706,696.0,,,,8.0,False
beta_uniform,beta,1000,oracle_beta_c2.0,63.0,0.01685490119457245,0.0005688742362549537,63.0,,,,1.0,False
beta_uniform,beta,1000,oracle_beta_c3.0,95.0,0.012276421785354614,0.0004244678837837073,95.0,,,,1.0,False
tail_b0.5_mu0.8_c2.0,tail,200,ceiling,12.0,0.022469802796840667,0.0009297450283947664,12.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,pooled_K,48.0,0.026977398812770843,0.0010951405665081267,48.0,,,,0.5,False
beta_uniform,beta,1000,ceiling,192.0,0.00902845972776413,0.0003559231672981152,192.0,,,,1.0,False
beta_uniform,beta,1000,pooled_K,192.0,0.00902845972776413,0.0003559231672981152,192.0,,,,1.0,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c0.5,5.0,0.048034667417407036,0.0023761502769829926,5.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c0.75,7.0,0.03128709763288498,0.00157716953702249,7.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c0.5,3.0,0.03459531593322754,0.0013120460008180018,3.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c0.75,4.0,0.029570819556713104,0.0011563500269508758,4.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c1.0,10.0,0.020565255135297774,0.0009935642528545085,10.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c1.5,15.0,0.013784339666366578,0.0006191951276339692,15.0,,,,0.5,False
beta_skewed,beta,1000,oracle_beta_c1.0,178.0,0.11017006473243236,0.003096757782469004,178.0,,,,3.0,False
beta_skewed,beta,1000,oracle_beta_c1.5,267.0,0.08957873845100403,0.00285164091681559,267.0,,,,3.0,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c1.0,6.0,0.024086220026016236,0.0010099900765401582,6.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c1.5,9.0,0.02236684477329254,0.0009238270533420309,9.0,,,,0.5,False
