level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_good_common,A,200,64,5007000,48,1,2000,0.05526415833830833,0.0011655822112416013,0.017854995638132094,0.03740916270017624,48.0,0.23232323232323226,32,False
env,val,beta_good_common,A,200,64,5007000,56,1,2000,0.05650038635730743,0.0011588906585142166,0.015312200546264648,0.041188185811042784,56.0,0.2727272727272726,32,False
env,val,beta_good_common,A,200,64,5007000,64,1,2000,0.05879899135231972,0.0011978891269134168,0.013266694605350494,0.04553229674696922,64.0,0.31313131313131315,32,False
env,val,beta_good_common,A,500,64,5010000,4,1,2000,0.12375282058119774,0.0017389127510601032,0.12123799768090249,0.0025148229002952575,4.0,0.004016064257028113,64,False
env,val,beta_good_common,A,500,64,5010000,6,1,2000,0.09779153737425804,0.0014342954043290077,0.09413676565885544,0.0036547717154026033,6.0,0.008032128514056226,64,False
env,val,beta_good_common,A,500,64,5010000,8,1,2000,0.0840108293890953,0.001234629767849417,0.07981746524572372,0.004193364143371582,8.0,0.01204819277108434,64,False
env,val,beta_good_common,A,500,64,5010000,10,1,2000,0.07519015967845917,0.0011288614438278578,0.06999475488066673,0.005195404797792434,10.0,0.016064257028112452,64,False
env,val,beta_good_common,A,500,64,5010000,12,1,2000,0.0682665827870369,0.0010507358390391124,0.06252028551697732,0.005746297270059586,12.0,0.02008032128514057,64,False
env,val,beta_good_common,A,500,64,5010000,14,1,2000,0.06144801047444343,0.0009706115751240152,0.055731105744838715,0.005716904729604721,14.0,0.02409638554216868,64,False
env,val,beta_good_common,A,500,64,5010000,16,1,2000,0.057649855941534045,0.0009250372474159572,0.05110908964276314,0.006540766298770905,16.0,0.028112449799196793,64,False
env,val,beta_good_common,A,500,64,5010000,18,1,2000,0.05438026618957519,0.0008946683814622529,0.0470775603055954,0.007302705883979797,18.0,0.032128514056224904,64,False
env,val,beta_good_common,A,500,64,5010000,20,1,2000,0.051276416838169095,0.0008548040235630457,0.04394180431962013,0.007334612518548966,20.0,0.036144578313253004,64,False
env,val,beta_good_common,A,500,64,5010000,24,1,2000,0.04760725271701813,0.0008219382680567246,0.03885337761044502,0.008753875106573104,24.0,0.04417670682730924,64,False
env,val,beta_good_common,A,500,64,5010000,28,1,2000,0.043813012957572936,0.0007741052348301111,0.03480713638663292,0.009005876570940017,28.0,0.05220883534136545,64,False
env,val,beta_good_common,A,500,64,5010000,32,1,2000,0.04169640338420868,0.0007468918782865936,0.031770690947771074,0.009925712436437606,32.0,0.06024096385542166,64,False
env,val,beta_good_common,A,500,64,5010000,36,1,2000,0.03904773426055908,0.0007156198877273241,0.02909835109114647,0.009949383169412613,36.0,0.0682730923694779,64,False
env,val,beta_good_common,A,500,64,5010000,40,1,2000,0.037854158520698546,0.0007037370270769261,0.026812731355428696,0.011041427165269851,40.0,0.07630522088353416,64,False
env,val,beta_good_common,A,500,64,5010000,48,1,2000,0.035991166055202486,0.0007005133320886099,0.023385399669408797,0.012605766385793686,48.0,0.09236947791164661,64,False
env,val,beta_good_common,A,500,64,5010000,56,1,2000,0.03425555017590523,0.000686257176611449,0.020755197435617448,0.013500352740287781,56.0,0.10843373493975904,64,False
env,val,beta_good_common,A,500,64,5010000,64,1,2000,0.033839010864496234,0.0006886281442133727,0.01880251055955887,0.015036500304937363,64.0,0.12449799196787148,64,True
env,val,beta_good_common,A,1000,64,5013000,4,1,2000,0.129598475843668,0.0018074564941533415,0.12814902704954148,0.0014494487941265105,4.0,0.0020040080160320635,64,False
