test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,stratum_empty_common_support,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_min_env,d_regret_vs_cp0_cluster_max_env,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_min_env,d_regret_vs_p3_star_cluster_max_env,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
B,posterior_mean_shrunk,family_horizon,A,500,,,all,,p3_star,reference,False,4,4,8000,4,True,True,0.11988704724563287,0.11783689237199724,0.12198562861885875,0.0010565743878460407,0.6773226011064836,0.08839529912173749,0.03149174812389538,64.0,0.12449799196787148,49.763000000000005,4.66925,0.04517953400000001,0.8971250000000001,,68.0,0.7972096483521164,0.7088143492303789,0.7088143492303789,1.0,-0.04630610564816743,-0.048655297979712485,-0.044001187535468486,0.0011729060729079466,0.6423125,-0.08690575269423426,-0.0178958700299263,4,,,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,500,,,all,,phi_k16,learned,False,4,4,8000,4,True,True,0.12085024039400744,0.11881820596754551,0.12293054722249508,0.001057261827049697,0.6763594079581089,0.09024827089905739,0.030601969494950025,58.636,0.11372690763052208,54.884249999999994,3.016125,0.053432974999999994,0.910875,251.86950000000002,90.55645940254078,0.7972096483521164,0.7088143492303789,0.706961377453059,0.76,-0.04534291249979287,-0.0476700795465149,-0.04306359491311014,0.0011665351332031332,0.6327499999999999,-0.08691349030844867,-0.015969483733177185,4,,,False,True,0,0.0009631931483745575,0.0006288243672997851,0.0013025328982621427,0.0001720651199502999,0.48824999999999996,-2.3212842643260958e-05,0.0029127922877669335,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,500,,,all,,phi_k16_all71,learned,False,4,4,8000,4,True,True,0.12058976091397927,0.11854883572086691,0.12266847144346685,0.001056783300396535,0.6766198874381371,0.08958207078278066,0.03100769013119862,60.3555,0.117179718875502,53.034499999999994,3.537625,0.050350709,0.9051250000000001,253.0725,90.73527510917032,0.7972096483521164,0.7088143492303789,0.7076275775693357,0.80725,-0.04560339197982102,-0.047943304054206236,-0.043319051485741514,0.0011687602666973864,0.635625,-0.08690575269423426,-0.01649044269323349,4,,,False,True,0,0.000702713668346405,0.0004212121122691315,0.0009921154560288414,0.00014529627343091284,0.491375,0.0,0.002108141005039215,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,500,,,all,,phi_k16_nopolicy,learned,False,4,4,8000,4,True,True,0.11989031615061688,0.11784017612226308,0.12198807669337838,0.0010565661342299905,0.6773193322014995,0.08839529912173749,0.03149501702887938,64.0,0.12449799196787148,49.762874999999994,4.669125,0.045178935,0.8971250000000001,314.34925,73.368,0.7972096483521164,0.7088143492303789,0.7088143492303789,1.0,-0.04630283674318343,-0.048655297979712485,-0.044001187535468486,0.0011729070487977976,0.64225,-0.08690575269423426,-0.017889332219958306,4,,,False,True,0,3.268904983997345e-06,0.0,9.80671484285267e-06,3.268904983997346e-06,0.49993750000000003,0.0,9.806714951992036e-06,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,1000,,,all,,cp0,reference,False,4,4,8000,4,True,True,0.16047586030419914,0.15843602195382117,0.16247722594998776,0.0010371201435645204,0.6577677885973825,0.15298907526116817,0.007486785043030977,30.36,0.02841683366733466,219.79424999999998,0.761625,0.13792714525,4.98725,,,0.8182436489015819,0.7085835065860301,0.6652545736404136,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0,0.03790545856859535,0.036169620748842134,0.03963402787339874,0.0008973863504417442,0.3535625,0.015287712156772614,0.06458927528001368,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,1000,,,all,,p3_star,reference,False,4,4,8000,4,True,True,0.12257040173560381,0.1206868898589164,0.12443064964609221,0.0009454098619924042,0.695673247165978,0.10966014231555163,0.01291025942005217,64.0,0.062124248496993974,153.569625,4.52125,0.0784405,4.73525,,272.0,0.8182436489015819,0.7085835065860301,0.7085835065860301,1.0,-0.03790545856859535,-0.03963402787339874,-0.036169620748842134,0.0008973863504417442,0.6464375,-0.06458927528001368,-0.015287712156772614,4,,,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,1000,,,all,,phi_k16,learned,False,4,4,8000,4,True,True,0.12257040173560381,0.1206868898589164,0.12443064964609221,0.0009454098619924042,0.695673247165978,0.10966014231555163,0.01291025942005217,64.0,0.062124248496993974,153.57525,4.52125,0.07844919624999999,4.728125,773.8552500000001,72.27,0.8182436489015819,0.7085835065860301,0.7085835065860301,1.0,-0.03790545856859535,-0.03963402787339874,-0.036169620748842134,0.0008973863504417442,0.6464375,-0.06458927528001368,-0.015287712156772614,4,,,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,1000,,,all,,phi_k16_all71,learned,False,4,4,8000,4,True,True,0.12257040173560381,0.1206868898589164,0.12443064964609221,0.0009454098619924042,0.695673247165978,0.10966014231555163,0.01291025942005217,64.0,0.062124248496993974,153.57525,4.52125,0.07844919624999999,4.728125,701.78325,72.24199999999999,0.8182436489015819,0.7085835065860301,0.7085835065860301,1.0,-0.03790545856859535,-0.03963402787339874,-0.036169620748842134,0.0008973863504417442,0.6464375,-0.06458927528001368,-0.015287712156772614,4,,,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,A,1000,,,all,,phi_k16_nopolicy,learned,False,4,4,8000,4,True,True,0.12257040173560381,0.1206868898589164,0.12443064964609221,0.0009454098619924042,0.695673247165978,0.10966014231555163,0.01291025942005217,64.0,0.062124248496993974,153.57525,4.52125,0.07844919624999999,4.728125,859.0830000000001,66.598,0.8182436489015819,0.7085835065860301,0.7085835065860301,1.0,-0.03790545856859535,-0.03963402787339874,-0.036169620748842134,0.0008973863504417442,0.6464375,-0.06458927528001368,-0.015287712156772614,4,,,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0
B,posterior_mean_shrunk,family_horizon,B,50,,,all,,cp0,reference,False,4,4,8000,4,True,True,0.1522997218541568,0.14945584037341178,0.15514556996058673,0.0014419485177829664,0.6449262784864986,0.12225277941348033,0.030046942440676502,6.0,0.08333333333333331,13.947375000000001,0.30474999999999997,0.2269698,0.084,,,0.7972260003406555,0.7972260003406555,0.6749732209271752,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,,,False,True,0,0.035937060522788666,0.032741613145117296,0.03922840321320109,0.0016534259227008134,0.43225,0.008524686820805073,0.07763761579664424,4,,,False,True,0
