test,source,posthoc,variant,policy,tau,heldout_T,n_cells,regret,regret_lo,regret_hi,search_frac
A,validation,False,clock_quality_evidence_k4,,0.6,False,40,0.11242160896658893,,,0.16914133920420232
A,validation,False,clock_quality_evidence_k4,,0.7,False,40,0.12416726108452418,,,0.11201040586356088
A,validation,False,clock_quality_k16,,0.3,False,40,0.11379621929040873,,,0.3406223454337275
A,validation,False,clock_quality_k16,,0.4,False,40,0.10964967541022919,,,0.2821900840443233
A,validation,False,clock_quality_k16,,0.5,False,40,0.10912759829058774,,,0.23938677731089605
A,validation,False,clock_quality_k16,,0.6,False,40,0.11108816093580094,,,0.1965282943660628
A,validation,False,clock_quality_k16,,0.7,False,40,0.11739956998340781,,,0.1460034793138494
A,validation,False,clock_sf_quality_cs_k16,,0.3,False,40,0.11204028222187186,,,0.32877697334549827
A,validation,False,clock_sf_quality_cs_k16,,0.4,False,40,0.10925292045383246,,,0.281004431601528
A,validation,False,clock_sf_quality_cs_k16,,0.5,False,40,0.11001549289308019,,,0.2458320531912314
A,validation,False,clock_sf_quality_cs_k16,,0.6,False,40,0.11157500009704377,,,0.20140135349642135
A,validation,False,clock_sf_quality_cs_k16,,0.7,False,40,0.11781027751889775,,,0.14634808146791575
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.3,False,32,0.1181910454244207,,,0.41872273804556503
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.3,True,8,0.09903082858026022,,,0.0621242484969939
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.4,False,32,0.11327487109367207,,,0.348075490738464
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.4,True,8,0.09903062555193895,,,0.0621242484969939
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.5,False,32,0.1128581783760746,,,0.2896427107626548
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.5,True,8,0.09903209953010077,,,0.061997995991983884
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.6,False,32,0.11468251778323606,,,0.2344196259372679
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.6,True,8,0.09968194037675852,,,0.05602705410821637
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.7,False,32,0.12182254658565211,,,0.17554121262415145
A,validation,False,clock_sf_quality_cs_k16_noT1000,,0.7,True,8,0.10225928293913598,,,0.04782164328657308
A,validation,False,legacy_E_k16_weighted,,0.3,False,40,0.1293638500082772,,,0.3985973093586915
A,validation,False,legacy_E_k16_weighted,,0.4,False,40,0.11717837773808273,,,0.3431001096756054
A,validation,False,legacy_E_k16_weighted,,0.5,False,40,0.11183160602197746,,,0.2731081302551406
A,validation,False,legacy_E_k16_weighted,,0.6,False,40,0.11674184014098717,,,0.20374517687696483
A,validation,False,legacy_E_k16_weighted,,0.7,False,40,0.12801943052426207,,,0.14392574101194314
A,validation,False,phi_k16_onpolicy_only,,0.3,False,40,0.11770830266666596,,,0.360979766790562
A,validation,False,phi_k16_onpolicy_only,,0.4,False,40,0.11527298803608861,,,0.3292854504574838
A,validation,False,phi_k16_onpolicy_only,,0.5,False,40,0.11506578074803106,,,0.2750866466464457
A,validation,False,phi_k16_onpolicy_only,,0.6,False,40,0.12870525683878217,,,0.2405565513491908
A,validation,False,phi_k16_onpolicy_only,,0.7,False,40,0.1509292648971779,,,0.17666123237700657
A,validation,False,phi_k16_onpolicy_union,,0.3,False,40,0.1180403128512669,,,0.35491092510802147
A,validation,False,phi_k16_onpolicy_union,,0.4,False,40,0.10987432941495205,,,0.2917427123683802
A,validation,False,phi_k16_onpolicy_union,,0.5,False,40,0.10894158592841116,,,0.25483491171617334
A,validation,False,phi_k16_onpolicy_union,,0.6,False,40,0.11045341758776916,,,0.21396703455366764
A,validation,False,phi_k16_onpolicy_union,,0.7,False,40,0.1160826285221264,,,0.15969271287456727
A,validation,False,reservoir_rule,,0.125,False,40,0.12323256650924445,,,0.3018025755259653
A,validation,False,reservoir_rule,,0.25,False,40,0.12294130471528039,,,0.26503268861329077
A,validation,False,reservoir_rule,,0.5,False,40,0.12455272456845264,,,0.2181031115581546
A,validation,False,reservoir_rule,,1.0,False,40,0.13000784422336142,,,0.15738219425842936
A,validation,False,reservoir_rule,,2.0,False,40,0.13906585159855891,,,0.10160032255927483
A,validation,False,reservoir_rule,,4.0,False,40,0.15544252140074963,,,0.06322149027590199
A,validation,False,reservoir_rule,,8.0,False,40,0.17460761238595,,,0.041610627332252494
A,validation,False,reservoir_rule_k16,,0.3,False,40,0.12491537392432799,,,0.3935479896308003
A,validation,False,reservoir_rule_k16,,0.4,False,40,0.11941521709128278,,,0.3820680576580112
A,validation,False,reservoir_rule_k16,,0.5,False,40,0.11410738536379064,,,0.3178141093974364
A,validation,False,reservoir_rule_k16,,0.6,False,40,0.11634600330669195,,,0.21254662597430363
A,validation,False,reservoir_rule_k16,,0.7,False,40,0.13135419237341261,,,0.14323710845180232
A,test:A,True,clock_quality_evidence_k16,phi_k16,0.5,False,40,0.11010622074566165,0.10942440731538226,0.11078081610103255,0.24406416897402355
A,test:A,True,clock_quality_evidence_k16,phi_k16_tau05,0.5,False,40,0.11010622074566165,0.10942440731538226,0.11078081610103255,0.24406416897402355
