test,horizon,cap,policy,reference,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,48,phi_k16,always_search,-0.00020653703436255454,-0.0005287875172682105,0.00011719621289521449,0.00016537053725356393,0.4996875,8,16000,8,-0.0005283742439087645,0.00011530017518365538,0.0001361050109037087,0.17293337132043768,0.125,-0.0036212722249813695,1.3004904397225268e-05,-0.00047675005719065663,-1.0278455913066863e-05,,,False,env_mean_t
capp,200,48,phi_k4,cp0,-0.038185879094759005,-0.040016984197162674,-0.036330385341224604,0.0009389065416515229,0.5994062499999999,8,16000,8,-0.07312766622579461,-0.0032440919637233903,0.01477688774759847,0.03625176336458052,0.0078125,-0.10996414831606152,-0.010927727459293365,-0.06774481004937842,-0.013731286303373053,,,False,env_mean_t
capp,200,48,p3_star,always_search,3.489962965250015e-05,1.5979596413672051e-06,6.85903312638402e-05,1.704886012198515e-05,0.49912500000000004,8,16000,8,-2.386849705046531e-05,9.366775635546561e-05,2.485305082335171e-05,0.2030282589136632,0.25,-1.0846128690659607e-06,0.0005170292686226896,1.710832118988037e-06,8.47640261054039e-05,,,False,env_mean_t
capp,200,64,phi_k4,level_star,0.000678894367069006,0.0002645071197301151,0.0010978397503495216,0.00021474580308260583,0.49578125,8,16000,8,-0.00029662747961383524,0.0016544162137518473,0.0004125483556322916,0.14383981300436152,0.25,-0.0001278177760860109,0.006791778547728286,3.395716100931168e-05,0.0015969340316951276,,,False,env_mean_t
capp,200,64,level_star,p3_star,-0.0012420324888080358,-0.0016979248306248336,-0.0007835006528533996,0.00023389026698688754,0.5075937500000001,8,16000,8,-0.002991591635081426,0.0005075266574653544,0.0007398888618751614,0.13711068135577706,0.25,-0.008416051093180757,0.00015089072547913975,-0.0028245968782342973,-5.7037999853491766e-05,,,False,env_mean_t
capp,200,64,level_star,fixed_K_star,-0.001237954815849662,-0.0017001972190104425,-0.0007729766479693354,0.00023519483006623605,0.50753125,8,16000,8,-0.0029881247499185426,0.0005122151182192186,0.0007401471641382288,0.13832850003803687,0.25,-0.008675048970399626,0.0001614190852831797,-0.002840003797458485,-5.072499997913838e-05,,,False,env_mean_t
capp,200,64,phi_k4,p3_star,-0.0005631381217390299,-0.000840982556482777,-0.00028994650375097997,0.00014098408101591425,0.5028125,8,16000,8,-0.001341221489126112,0.00021494524564805216,0.0003290515890053035,0.13074364265400557,0.25,-0.0027616913515018993,2.8799534382977355e-05,-0.0012422496136277913,-3.273057471961997e-06,,,False,env_mean_t
capp,200,64,phi_k16,p3_star,-0.00038740179874002936,-0.0011769316170830277,0.00040440890393219844,0.0004009865399451563,0.50228125,8,16000,8,-0.003374970865548318,0.0026001672680682594,0.0012634434687861702,0.7680494055563504,0.78125,-0.003305825737094396,0.002387594786353774,-0.0027285768470261236,0.001900869166478515,,,False,env_mean_t
capp,200,64,phi_k16,always_search,-0.0003833241257816553,-0.0011733281962573528,0.00041368983304128045,0.00040510576947715214,0.50228125,8,16000,8,-0.00337016932056444,0.002603521069001129,0.0012631373431829093,0.7703529037998988,0.78125,-0.003295677074705693,0.0023462825381100477,-0.0026924708243459463,0.0018917903192341326,,,False,env_mean_t
capp,200,64,phi_k4,cp0,-0.04034550218742515,-0.04225908164011889,-0.038395934884402225,0.000991371946090266,0.6003437500000001,8,16000,8,-0.07972929366756056,-0.0009617107072897452,0.01665541214575928,0.045932358780432926,0.0078125,-0.14180399954000156,-0.009452757716050881,-0.07443473362736112,-0.013012631506958883,,,False,env_mean_t
