test,recommender,variant,policy,oof_auc_env,oof_bal_acc_tau_off,tau_off,oof_bal_acc_05,k,feature_set,n_features,regret_pooled,regret_lo,regret_hi,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,search_frac,n_cells,regret_family_A,regret_family_B
A,oracle_prior,all71_k16,phi_k16_all71,0.7502146582663678,0.6864049616895844,0.64,0.6582251300458144,16,all71,71,0.10990723838693775,0.10922403140517417,0.11058408511446031,-0.03835611371616924,-0.03919184726968524,-0.03751498301702668,0.2506616745808665,40,0.1324750971410009,0.08733937963287461
A,posterior_mean,all71_k16,phi_k16_all71,0.7502146582663678,0.6864049616895844,0.64,0.6582251300458144,16,all71,71,0.11058530977750743,0.10989855961081048,0.11126637036511966,-0.037736389837752536,-0.03858739152477938,-0.03689053000663989,0.2506616745808665,40,0.13323508895271155,0.08793553060230333
A,posterior_mean_shrunk,all71_k16,phi_k16_all71,0.7502146582663678,0.6864049616895844,0.64,0.6582251300458144,16,all71,71,0.10994239159207173,0.10925895393433165,0.1106198149802367,-0.03832861541505063,-0.03916231891547795,-0.03749055529144243,0.2506616745808665,40,0.1325169269717815,0.08736785621236194
A,empirical,clock_quality_evidence_k16_hgb,phi_k16_hgb,0.7656798377332503,0.6889788708186758,0.64,0.6671495831829733,16,clock_quality_evidence,62,0.14860168733375795,0.14769660350750202,0.14950502063322346,1.452633615244836e-05,-0.0010452537099627077,0.0010454918817413273,0.287839562635689,40,0.16344511195366287,0.13375826271385305
A,lcb,clock_quality_evidence_k16_hgb,phi_k16_hgb,0.7656798377332503,0.6889788708186758,0.64,0.6671495831829733,16,clock_quality_evidence,62,0.11087570293591306,0.1101946982122172,0.11155581552236982,-0.037425952118034365,-0.038270080331494684,-0.03658795309034758,0.287839562635689,40,0.13348795534012386,0.08826345053170226
A,oracle_prior,clock_quality_evidence_k16_hgb,phi_k16_hgb,0.7656798377332503,0.6889788708186758,0.64,0.6671495831829733,16,clock_quality_evidence,62,0.11085223280516401,0.11017042785046215,0.11152841317387356,-0.03741111929794297,-0.038252888550268836,-0.036571947265911155,0.287839562635689,40,0.13348172849131296,0.08822273711901507
A,posterior_mean,clock_quality_evidence_k16_hgb,phi_k16_hgb,0.7656798377332503,0.6889788708186758,0.64,0.6671495831829733,16,clock_quality_evidence,62,0.11138448304725061,0.11069920531510434,0.11206967954713037,-0.03693721656800935,-0.037780656257236846,-0.0360969133648905,0.287839562635689,40,0.13411938866009948,0.08864957743440173
A,posterior_mean_shrunk,clock_quality_evidence_k16_hgb,phi_k16_hgb,0.7656798377332503,0.6889788708186758,0.64,0.6671495831829733,16,clock_quality_evidence,62,0.11087334129855919,0.11019425881626375,0.11155052992544369,-0.037397665708563184,-0.03824168719511363,-0.036561190398279,0.287839562635689,40,0.13345897368279763,0.08828770891432068
A,empirical,clock_quality_evidence_k16_weighted,phi_k16_weighted,0.7383233471629578,0.6784502984917671,0.61,0.6496282683566182,16,clock_quality_evidence,62,0.12475271064768072,0.12395755701989401,0.12553345619409811,-0.023834450349924784,-0.024780815625126705,-0.022874891636893154,0.25979824353661957,40,0.1440199140637832,0.10548550723157823
A,lcb,clock_quality_evidence_k16_weighted,phi_k16_weighted,0.7383233471629578,0.6784502984917671,0.61,0.6496282683566182,16,clock_quality_evidence,62,0.11128713917344468,0.11060282354563242,0.1119757923904399,-0.037014515880502766,-0.03785400938948442,-0.036172653447138145,0.25979824353661957,40,0.1340803372983275,0.08849394104856183
