level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,100,64,5004000,0.5,8.0,6.0,1,2000,0.09287114229798317,0.0018155934094206303,53.7565,0.5281275510204082,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,0.0,1,2000,0.07413223218917847,0.001500858992201495,32.0,0.3061224489795918,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,2.0,1,2000,0.07365249347686767,0.0015194599290187592,28.507,0.2704795918367347,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,4.0,1,2000,0.07220772993564606,0.0014778111306900656,25.261,0.23735714285714285,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,6.0,1,2000,0.06881855446100235,0.0014471346281710524,22.57,0.2098979591836735,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,8.0,1,2000,0.06839512902498245,0.0014295488856291823,20.131,0.18501020408163266,False
env,val,beta_good_common,100,64,5004000,0.75,1.5,0.0,1,2000,0.08704018464684486,0.0017089900370268953,48.0,0.4693877551020407,False
env,val,beta_good_common,100,64,5004000,0.75,1.5,2.0,1,2000,0.08080579921603202,0.0016397927673820786,42.159,0.40978571428571425,False
env,val,beta_good_common,100,64,5004000,0.75,1.5,4.0,1,2000,0.07770102509856223,0.0015916535903592668,37.1995,0.35917857142857146,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,1.5,6.0,1,2000,0.07502906212210655,0.0015379210547110734,32.8655,0.31495408163265304,False
env,val,beta_good_common,100,64,5004000,0.75,1.5,8.0,1,2000,0.07434702727198601,0.0015346484935521239,29.117,0.2767040816326531,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,2.0,1,2000,0.09490222144126892,0.0018060051348114056,55.8285,0.5492704081632653,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,4.0,1,2000,0.08673711332678795,0.0017293903959477673,49.0075,0.4796683673469388,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,6.0,1,2000,0.08241506886482239,0.001644704961082169,43.1295,0.4196887755102041,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,8.0,1,2000,0.07833624000847339,0.0016160264487326873,37.8235,0.36554591836734696,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,4.0,1,2000,0.1020351948440075,0.001863471003116064,63.932,0.6319591836734694,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,6.0,1,2000,0.0998844208419323,0.0018494231316762554,60.89,0.6009183673469388,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,8.0,1,2000,0.09378663149476052,0.0018094268422431275,54.891,0.539704081632653,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,0.0,1,2000,0.05491115060448647,0.001124256848571447,43.0,0.20707070707070716,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,2.0,1,2000,0.05358255165815353,0.0011216877783351443,37.9075,0.1813510101010101,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,0.0,1,2000,0.057494681656360624,0.0011790663941334597,57.0,0.2777777777777778,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,4.0,1,2000,0.05214785405993461,0.001082917325161926,33.5715,0.1594520202020202,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,6.0,1,2000,0.05292145323753357,0.0010724129354162345,29.791,0.14035858585858585,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,8.0,1,2000,0.05520919969677925,0.0010932370209884084,26.459,0.12353030303030303,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,2.0,1,2000,0.056123633980751035,0.0011749053573395843,50.1865,0.2433661616161616,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,4.0,1,2000,0.05410618811845779,0.0011106896831187983,44.2795,0.21353282828282827,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,6.0,1,2000,0.05176582407951355,0.0010759596576065675,39.0405,0.18707323232323234,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,8.0,1,2000,0.051819724768400195,0.0010774148752690726,34.441,0.16384343434343435,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,4.0,1,2000,0.058515449821949006,0.001185826247315644,62.7585,0.3068611111111111,False
env,val,beta_good_common,200,64,5007000,0.5,8.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,8.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,8.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,6.0,1,2000,0.05675195300579071,0.0011686110693561271,56.7845,0.276689393939394,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,8.0,1,2000,0.055582244247198105,0.0011329738016707348,50.283,0.24385353535353532,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,0.0,1,2000,0.056923432558774946,0.0011870608867809247,54.0,0.2626262626262626,False
env,val,beta_good_common,200,64,5007000,0.5,8.0,6.0,1,2000,0.05863821819424629,0.0011947877351728064,63.816,0.3122020202020202,False
env,val,beta_good_common,200,64,5007000,0.5,8.0,8.0,1,2000,0.05855603632330895,0.0011964454383134888,61.2305,0.2991439393939394,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,2.0,1,2000,0.05450911045074463,0.00112646561786434,47.279,0.22868181818181815,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,4.0,1,2000,0.05364176362752914,0.0011134550233348195,41.69,0.20045454545454544,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,6.0,1,2000,0.05106029337644577,0.0010624967231972354,36.7955,0.1757348484848485,False
env,val,beta_good_common,200,64,5007000,0.75,1.5,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.5,2.0,1,2000,0.0587963285446167,0.001197908944671207,63.9985,0.3131237373737374,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,8.0,1,2000,0.051876642525196075,0.0010672029892301858,32.525,0.15416666666666667,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.5,4.0,1,2000,0.057498011201620104,0.0011922084293626485,60.6965,0.29644696969696976,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.5,6.0,1,2000,0.056111060589551925,0.0011596116863252389,53.899,0.2621161616161616,False
env,val,beta_good_common,200,64,5007000,0.75,1.5,8.0,1,2000,0.05427412813901901,0.0011051431739392897,47.5415,0.23000757575757574,False
env,val,beta_rare_excellent,50,64,5046000,0.5,3.0,0.0,1,2000,0.16809502394660375,0.0027192738811438683,22.0,0.41666666666666674,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,3.0,2.0,1,2000,0.16262917213782202,0.0027041911542306884,30.827,0.6005625,False
env,val,beta_rare_excellent,50,64,5046000,0.5,3.0,4.0,1,2000,0.1593900967091322,0.002702588921830797,39.973,0.7911041666666666,False
env,val,beta_rare_excellent,50,64,5046000,0.5,3.0,6.0,1,2000,0.18474907124694437,0.002770200275642264,47.8895,0.95603125,False
env,val,beta_rare_excellent,50,64,5046000,0.5,3.0,8.0,1,2000,0.20454823584691623,0.002775304697997675,49.9255,0.9984479166666667,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,4.0,0.0,1,2000,0.16542714333231562,0.002698456423237492,29.0,0.5625,False
env,val,beta_rare_excellent,50,64,5046000,0.5,4.0,2.0,1,2000,0.16026891380455344,0.002718751506137512,39.2085,0.7751770833333332,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,4.0,4.0,1,2000,0.18952954770228825,0.002762964893916558,48.642,0.9717083333333334,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,6.0,1,2000,0.05886262276768684,0.0012003145190298324,63.3935,0.31006818181818185,False
env,val,beta_rare_excellent,50,64,5046000,0.5,4.0,6.0,1,2000,0.20460864009545185,0.0027748805712898674,49.989,0.9997708333333334,False
env,val,beta_rare_excellent,50,64,5046000,0.5,6.0,0.0,1,2000,0.16415017614816316,0.002727724723716844,43.0,0.8541666666666665,False
env,val,beta_rare_excellent,50,64,5046000,0.5,4.0,8.0,1,2000,0.2049431271313224,0.002769416851874459,50.0,1.0,False
env,val,beta_rare_excellent,50,64,5046000,0.5,6.0,2.0,1,2000,0.2049431271313224,0.002769416851874459,49.9995,0.9999895833333332,False
