test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
A,posterior_mean_shrunk,family_horizon,B,500,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,7.544294744729996e-05,-0.00013761007450520984,0.0002901781147345901,0.00010852822022516364,0.5005625,4,8000,4,-2.8297707438468934e-05,0.00025462654978036884,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.023890705689787864,-0.025216937449923718,-0.02261714900506195,0.0006620297540077434,0.6154375000000001,4,8000,4,-0.045808654755353936,-0.001972756624221802,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-1.4831870794296264e-06,-9.24379490315914e-06,4.673224687576292e-06,3.5620604684215208e-06,0.49975,4,8000,4,-8.222714066505432e-06,3.7731528282165526e-06,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-1.8838271498680114e-06,-4.8929639160633085e-06,6.752938032150264e-07,1.4235226099626828e-06,0.5001249999999999,4,8000,4,-5.651481449604034e-06,0.0,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,A,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.043414032333386775,-0.04469493012735239,-0.042104005027377094,0.0006591640446240014,0.60785,20,40000,4,-0.0891316981996908,-0.013609339447319508,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,A,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.002109007708831632,-0.002875726987715679,-0.00131730488857571,0.00040331707504059867,0.5013124999999999,20,40000,4,-0.004969600066156999,0.00022515381691337095,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,A,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0002182194366330805,-1.3181450624688287e-05,0.00044989746179795463,0.00011948094991273937,0.5001249999999999,20,40000,4,-0.0003626006244681776,0.0007343551265075804,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,B,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03291554018953466,-0.03398385351806951,-0.031865843437852016,0.0005448047881528272,0.6007125,20,40000,4,-0.06041400094358251,-0.006917188407480718,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,B,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0006690181122045032,-0.0012634827862883688,-5.5088816705392976e-05,0.0003080072712236538,0.5047374999999998,20,40000,4,-0.002980725701048505,0.0020977136621251704,False,True,True,0,True,10000
A,posterior_mean_shrunk,family,B,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,9.553173207677904e-06,-0.00017748023219348394,0.00020170113827334705,9.643297254084635e-05,0.5006625,20,40000,4,-7.433490976691246e-05,7.86317982012406e-05,False,True,True,0,True,10000
