test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,empirical,family_horizon,A,50,,,,,phi_k16_famB_only,learned,4,4,8000,4,True,True,0.16516272180765737,0.1622094188351184,0.16818156344816088,0.0015405767408700726,0.5297495227041108,0.03258955776318908,0.13257316404446828,26.74,0.5154166666666666,5.0344999999999995,17.35775,0.07029439999999999,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6623226867485792,0.0,-0.027813546295868945,-0.031664512935094535,-0.023900770579348318,0.0019865397952604363,0.5438125,-0.06489543290155597,-0.007738689610709117,4,False,True,0,0.006544474776637799,0.0033015751134371396,0.009858905492728802,0.0016918467322428125,0.48837500000000006,-0.0059174107986546005,0.019059429884218843,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_guard,learned,4,4,8000,4,True,True,0.15634860499458592,0.15347125572152437,0.1593490915838629,0.0014817030898648892,0.5385636395171822,0.06858028931636363,0.08776831567822228,17.0,0.3125,6.350125,4.04425,0.088523,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6263319551954045,0.0,-0.036627663108940396,-0.040029231074731796,-0.03317044977447949,0.001726785972139038,0.5638125,-0.07901854234370148,-0.011056720279157162,4,False,True,0,-0.0022696420364336518,-0.004647180582833243,0.00011117724206997055,0.0012056022825733678,0.509625,-0.008458511553519203,0.003974466867111914,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_hgb,learned,4,4,8000,4,True,True,0.16885557293454256,0.16581419240683318,0.17198264738544822,0.0015624974450568362,0.5260566715772257,0.0308370786383748,0.13801849429616778,28.404,0.5500833333333333,4.558375,19.71025,0.06520390000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6640751658733934,0.0,-0.02412069516898373,-0.028060702509537804,-0.02014081698580412,0.0020206773096103116,0.533375,-0.07273724816397772,0.007696204068652151,4,False,True,0,0.010237325903523015,0.00691210241866429,0.013583968038437887,0.0016893720610574358,0.47631249999999997,0.00707087057485478,0.01242147874890361,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_lucb,learned,4,4,8000,4,True,True,0.16493760093772653,0.16198206432163714,0.1679569877218455,0.0015407220630366228,0.5299746435740417,0.03212016921490431,0.1328174317228222,26.848,0.5176666666666665,5.0093749999999995,17.492874999999998,0.0700668,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6627920752968639,0.0,-0.02803866716579978,-0.031863371876534076,-0.02411252671518014,0.0019863209617056515,0.5441875,-0.06602590628293001,-0.0072450684085233665,4,False,True,0,0.0063193539067069645,0.0030766303330892696,0.009604063440929166,0.0016895472076357532,0.488875,-0.005936666013956709,0.018099915308674098,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_noT1000,learned,4,4,8000,4,True,True,0.18081868041253257,0.1777460056822747,0.18393840873613954,0.0015995796381803372,0.5140935640992357,0.018694923669099806,0.16212375674343277,33.202,0.6500416666666666,4.06675,27.39,0.05914710000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6762173208426684,0.0,-0.01215758769099375,-0.016175598364498,-0.008217988591059114,0.0020241291679463304,0.5162500000000001,-0.049637298596468094,0.01687391825206578,4,False,True,0,0.022200433381512993,0.018712920631514862,0.025743576628156004,0.0017730587622924526,0.4545625,0.0001844610497355459,0.03737262699648272,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_noT200,learned,4,4,8000,4,True,True,0.165715043962522,0.16272686491720378,0.16870549907907845,0.0015428124198858047,0.5291972005492461,0.032508661046624185,0.13320638291589784,26.796,0.5165833333333332,5.01525,17.4335,0.0701341,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.662403583465144,0.0,-0.027261224141004278,-0.03110768767364789,-0.023323114648519553,0.0019896500620949636,0.5426875,-0.0638556325388945,-0.0071215235087765906,4,False,True,0,0.007096796931502468,0.0038238419198023624,0.010425767629931216,0.0016984688300513296,0.487375,-0.0059174107986546005,0.02030495228085783,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_noambig,learned,4,4,8000,4,True,True,0.16836884963127158,0.16533907651901245,0.1713836940471083,0.001547285754341643,0.5265433948804966,0.022548483904451133,0.14582036572682047,31.184,0.6079999999999999,4.4495,24.351125,0.06253210000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6723637606073171,0.0,-0.02460741847225472,-0.028496087581152095,-0.020674001998850146,0.0019969650691555826,0.5378125,-0.07517818508387245,0.011112018531188369,4,False,True,0,0.009750602600252024,0.006448820843797876,0.01307671348331496,0.0016845368914716345,0.477375,-0.005371302604995435,0.02237583430617815,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_nopolicy,learned,4,4,8000,4,True,True,0.15249874155894577,0.14964656298980117,0.15537311122752726,0.0014627787703181928,0.5424135029528224,0.05623626840021462,0.09626247315873115,20.018,0.37537499999999996,6.02325,7.4105,0.0812625,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6386759761115536,0.0,-0.04047752654458054,-0.04396345816203393,-0.036910250468645246,0.0017898287668987544,0.5680000000000001,-0.08977994823159861,-0.011680249713361263,4,False,True,0,-0.006119505472073797,-0.008467173142707906,-0.00380940200702753,0.0011794572185449877,0.51375,-0.010066764438524842,-0.0021107010962296046,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_notrunc,learned,4,4,8000,4,True,True,0.1537801463230935,0.15091707492247225,0.1567239015828818,0.001473221420000148,0.5411320981886747,0.03775256585143506,0.11602758047165843,24.708000000000002,0.4730833333333333,5.438125,14.051,0.0734491,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6571596786603332,0.0,-0.0391961217804328,-0.042916231375420465,-0.03545523634529672,0.00189963418789336,0.5625,-0.09203302796125536,-0.011595251515507698,4,False,True,0,-0.0048381007079260595,-0.00769028842623811,-0.0019462861528154463,0.0014860237759958346,0.5081249999999999,-0.011109763324318919,0.003136401785155613,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_onpolicy_only,learned,4,4,8000,4,True,True,0.15191570079222583,0.14910441501997412,0.15473375264555217,0.0014479719295964874,0.5429965437195423,0.03090470565482974,0.1210109951373961,27.538,0.5320416666666665,5.100125,18.508499999999998,0.0679395,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6640075388569384,0.0,-0.04106056731130048,-0.044790039202052864,-0.037224469502689324,0.0019238902162196862,0.564875,-0.10326578104538385,-0.003284011509727862,4,False,True,0,-0.00670254623879373,-0.009606114993221126,-0.0037755899735202546,0.0014928614260595518,0.5065000000000001,-0.01961676317454476,0.005603251463129709,4,False,True,0
