level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,50,64,5001000,0.7,0.5,3.0,1,2000,0.098389080286026,0.0019430792092283878,22.0,0.41666666666666674,False
env,val,beta_good_common,50,64,5001000,0.7,0.5,4.0,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
env,val,beta_good_common,50,64,5001000,0.7,0.75,1.0,1,2000,0.09370254738628864,0.0018471033919935606,19.0,0.3541666666666667,False
env,val,beta_good_common,50,64,5001000,0.675,0.75,2.0,1,2000,0.1336657459884882,0.002410658145527297,38.0,0.75,False
env,val,beta_good_common,50,64,5001000,0.675,0.75,3.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.7,0.5,6.0,1,2000,0.15254334343969822,0.0025620961648164836,43.0,0.8541666666666665,False
env,val,beta_good_common,50,64,5001000,0.7,0.75,1.5,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
env,val,beta_good_common,50,64,5001000,0.7,0.5,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.7,0.75,2.0,1,2000,0.1336657459884882,0.002410658145527297,38.0,0.75,False
env,val,beta_good_common,50,64,5001000,0.7,0.75,3.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,100,64,5004000,0.55,0.5,3.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.5,4.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.5,6.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.5,8.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.75,1.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.75,1.5,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.75,2.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.55,0.75,3.0,1,2000,0.14768932594358922,0.002099049645138387,2.572,0.005836734693877551,False
env,val,beta_good_common,100,64,5004000,0.6,0.5,3.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.5,4.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.5,6.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.5,8.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.75,1.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.75,1.5,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.6,0.75,2.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.625,0.5,3.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.5,4.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
