test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,stratum_empty_common_support,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_cluster_se,d_regret_vs_cp0_cluster_p,d_regret_vs_cp0_cluster_p_sign,d_regret_vs_cp0_cluster_boot_t_lo,d_regret_vs_cp0_cluster_boot_t_hi,d_regret_vs_cp0_cluster_pct_lo,d_regret_vs_cp0_cluster_pct_hi,d_regret_vs_cp0_cluster_min_env,d_regret_vs_cp0_cluster_max_env,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_cluster_method,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_cluster_se,d_regret_vs_p3_star_cluster_p,d_regret_vs_p3_star_cluster_p_sign,d_regret_vs_p3_star_cluster_boot_t_lo,d_regret_vs_p3_star_cluster_boot_t_hi,d_regret_vs_p3_star_cluster_pct_lo,d_regret_vs_p3_star_cluster_pct_hi,d_regret_vs_p3_star_cluster_min_env,d_regret_vs_p3_star_cluster_max_env,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_cluster_method,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
D,posterior_mean_shrunk,family,A,all,,,all,,phi_k16,learned,False,8,4,16000,8,False,True,0.12589136358676478,0.12434679723810405,0.1274020918586757,0.0007712833351152851,0.6642242149175145,0.08646302006021142,0.03942834352655336,55.882875,0.14663220000607274,86.66625,4.007125,0.067259410625,2.3655,411.54200000000003,84.24949979319271,0.7901155785042793,0.7087218950074166,0.7036525584440678,0.7575624999999999,-0.042202776054269635,-0.04394605185079854,-0.040525188863102815,0.0008709900605032461,0.62440625,8,-0.11219977951889423,0.027794227410354977,0.02199471624970104,0.15081996465022424,0.125,-1.4841554296632788,-0.0032786232812746507,-0.08295764615247025,-0.01299233890324831,,,False,env_mean_t,True,0,-0.0001558471191674471,-0.0007522399181880245,0.00044772228930014526,0.00031105453536866396,0.5001875,8,-0.0018202020416432684,0.001508507803308374,0.0005229797340846094,0.7851507594338853,0.75,-0.008209093704372263,0.0012041750722103157,-0.0011703913137316704,0.0007197909895330667,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_k16_clock,learned,False,8,4,16000,9,False,True,0.1270879472512752,0.12551247197552584,0.12863400423666463,0.000779694116296709,0.6630276312530041,0.08786637235991657,0.039221574891358614,57.0,0.15227424546061816,84.89543750000001,7.13375,0.058905829374999996,2.3801249999999996,468.0,64.0,0.7901155785042793,0.7087218950074166,0.7022492061443627,0.5,-0.03714284204432947,-0.03866684524109587,-0.0356043154037454,0.0007732872846345397,0.6225277777777778,9,-0.1063217946812103,0.02528601003705795,0.02067714457581959,0.14491587296230143,0.125,-0.5826059543657309,-0.0038502063215199583,-0.07841884304163978,-0.011805892506241799,,,False,env_mean_t,True,0,0.0009219247073762948,4.403901114831885e-05,0.0017902060729738877,0.00044705495567881414,0.5024444444444445,9,-0.004258920841179818,0.006592557759285002,0.0017048957876286046,0.5428574573131788,0.875,-0.0018864780451714734,0.3700536627692904,-0.0010211497999727725,0.0043718830780126155,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_k16_cs,learned,False,8,4,16000,9,False,True,0.12590873965760693,0.1243586896744091,0.127424745290773,0.0007715640277456088,0.6642068388466723,0.08647124496474862,0.03943749469285831,55.862125,0.1465274020262748,86.6758125,3.9886875,0.06730451062500001,2.3655625000000002,412.011875,84.33830237485374,0.7901155785042793,0.7087218950074166,0.7036443335395306,0.7574375,-0.03819102657203459,-0.03975068581057712,-0.03669694948217107,0.000776547499729093,0.6221944444444445,9,-0.11244014089654178,0.029049728103279854,0.022229733894474638,0.1573707471278979,0.125,-0.7455801868919643,-0.0019145074672186,-0.08293933172198012,-0.011613277265429496,,,False,env_mean_t,True,0,-0.00012625982032881837,-0.0006556764356496893,0.00041061043760540385,0.00027705140212650907,0.5003333333333333,9,-0.0013727361373361716,0.0013517449063317744,0.000428048234332278,0.981977846808275,0.75,-0.0012575008426555581,0.0012565729073771167,-0.0008610328300432725,0.0007747342810034753,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_k16_noT1000,learned,False,8,4,16000,8,False,True,0.1251453411090188,0.12359833886730484,0.12665942230378277,0.0007700690374934222,0.6649702373952604,0.08411210206523538,0.04103323904378339,58.4165,0.15942828586465863,85.5606875,6.243875000000001,0.06268968250000001,2.365125,491.605375,79.70169971126083,0.7901155785042793,0.7087218950074166,0.7060034764390439,0.81525,-0.042948798532015636,-0.044703340594423935,-0.041249264182988556,0.0008794087498159991,0.62796875,8,-0.11186452877335243,0.02596693170932115,0.021654954594809137,0.1415991050957269,0.125,-1.2917893978563142,-0.004288822014479103,-0.08333248500013724,-0.014501324892044067,,,False,env_mean_t,True,0,-0.0009018695969134568,-0.001380075437919004,-0.0004078956553712488,0.000248803428728578,0.5033125,8,-0.003153861157891424,0.0013501219640645104,0.0007076290830858833,0.29224820367666204,0.5,-0.004246323599962643,0.00036366639673853906,-0.0022331191040575503,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_k16_noT200,learned,False,8,4,16000,8,False,True,0.1253539780895226,0.12380457429098897,0.1268567195860669,0.0007699546980695262,0.6647616004147567,0.0850016975030303,0.040352280586492276,57.488125,0.154739523238396,86.0930625,5.624812500000001,0.065030560625,2.365125,415.559625,81.18769779991698,0.7901155785042793,0.7087218950074166,0.7051138810012489,0.8005625,-0.04274016155151184,-0.044487312572891825,-0.04106787169293966,0.0008748878984174108,0.62634375,8,-0.11196163108643871,0.02648130798341501,0.021751025121775285,0.14415140523306066,0.125,-0.8745882521487601,-0.0036587177319080608,-0.08335083110490815,-0.014084050931036473,,,False,env_mean_t,True,0,-0.0006932326164096594,-0.0012015534681268035,-0.00017919875463121587,0.00026490226413528474,0.502625,8,-0.0022456669290310616,0.000859201696211743,0.0004878116278172387,0.25039827683392896,0.5,-0.0021285431570572185,0.00016422158716336858,-0.0015521698482334613,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_sf_k16,learned,False,8,4,16000,9,False,True,0.1253488575196825,0.1237956955563277,0.1268599241564516,0.0007731389087299107,0.6647667209845967,0.08231119041144848,0.04303766710823402,61.492625000000004,0.17496427071314347,84.13425000000001,8.466,0.056894329375,2.365125,473.780375,77.23747318907814,0.7901155785042793,0.7087218950074166,0.7078043880928309,0.872375,-0.03868869958352297,-0.0402478994982731,-0.0371559181302372,0.0007910604547487284,0.6249722222222222,9,-0.11222279881822031,0.027830003301964695,0.02200395367042958,0.15098239267733857,0.125,-0.5625324462172089,-0.0022534498615719156,-0.08330620049731807,-0.012522641512751582,,,False,env_mean_t,True,0,-0.0006239328318172031,-0.00091592864038527,-0.00034153997067202607,0.000144392682711931,0.5029999999999999,9,-0.0016533641881120269,0.000629990234113938,0.0003587420184332708,0.24902911769557615,0.5,-0.001551929318404787,0.00012607654046741597,-0.0012451906393874774,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,phi_sf_k16_noT1000,learned,False,8,4,16000,9,False,True,0.12573918556934222,0.12420668364502489,0.1272603943652939,0.0007715780924254438,0.6643763929349371,0.0856485648676753,0.040090620701666926,56.6115,0.15087031132973017,86.5019375,4.6974374999999995,0.06576894375,2.365625,374.98199999999997,108.10634058789509,0.7901155785042793,0.7087218950074166,0.704467013636604,0.76475,-0.03834174131715877,-0.03989877997794085,-0.03684552409298097,0.0007798714309587049,0.6231944444444445,9,-0.11234627121598253,0.028692205382788355,0.022158814803035245,0.15552225298559275,0.125,-0.7483433857576346,-0.0021358242343404235,-0.08297876207204535,-0.011898116633296013,,,False,env_mean_t,True,0,-0.00027697456545299956,-0.0007762650824342168,0.00023344079797122194,0.00025841958387921366,0.5012222222222222,9,-0.0015563026518438672,0.001271658380907219,0.00044430616599185324,0.7697369279120188,1.0,-0.0017974939762461523,0.0010038148464266766,-0.0011079769134521487,0.0005886790975928307,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,A,all,,,all,,refine_after_init,baseline,False,8,4,16000,9,False,True,0.2329724015785032,0.2311363080982119,0.23480525363702326,0.00094076360152826,0.5571431769257761,0.22410722526069732,0.00886517631780589,8.0,0.01815752717556324,242.336,0.0675625,0.283762669375,1.1375,,,0.7901155785042793,0.7087218950074166,0.5660083532435819,0.0,0.06362052074297228,0.06217787375466691,0.06509688915426119,0.0007489838078648653,0.28075000000000006,9,0.00014250245156857688,0.13335878798157905,0.020929855958423553,0.04973949201874303,0.125,0.030085190970355058,3.621801772709988,0.03884028491079807,0.10537414570065448,,,False,env_mean_t,True,0,0.10168528749467806,0.09978558545828695,0.10361622509857019,0.0009703894485695157,0.21747222222222223,9,-0.028915678945742457,0.2457863909411476,0.04315894810712305,0.08674926078295192,0.125,0.031300172257511846,1.6208040096505207,0.05023984732627869,0.1885491341385641,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,always_search,baseline,False,8,4,16000,10,False,True,0.07748461887655139,0.07633086905261735,0.07864199297873711,0.0005886936265480932,0.7754957998111349,0.047303965001367035,0.03018065387518436,64.0,0.18762778081415357,107.5495625,20.260875,0.088501789375,4.968562500000001,,64.0,0.8529804186876864,0.8056764536863192,0.8056764536863192,1.0,-0.028210914999281522,-0.029421957801678215,-0.027032516653416678,0.0006097564116227435,0.61405,10,-0.0656066152330441,0.01801859746382801,0.013138511175825969,0.1678206035861322,0.125,-1.0344599638312189,0.041115075370683526,-0.045878539457975424,-0.001709478311240673,,,False,env_mean_t,True,0,-5.3304523229599e-06,-1.1195413608220407e-05,-6.486704637609363e-07,2.7223473573092237e-06,0.5001749999999999,10,-1.4765547185699883e-05,3.6016096369035463e-06,2.8856978344157858e-06,0.14853054549010175,0.25,-5.27486573743252e-05,1.3708847862803827e-06,-1.0512527492311267e-05,-1.4897982279459636e-06,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,cp0,reference,False,8,4,16000,10,False,True,0.10612218477064744,0.10486082703282591,0.10741382549458649,0.0006591120374153527,0.7468582339170389,0.09435031333798542,0.01177187143266201,22.203500000000002,0.04449602740835204,143.0370625,1.8991875,0.158505704625,3.927125,,,0.8529804186876864,0.8056764536863192,0.7586301053497009,0.0,0.0,0.0,0.0,0.0,0.5,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0,0.02820558454695856,0.027026596373616485,0.029415677256765773,0.0006096952853186163,0.3859,10,-0.018026311630508843,0.06560316546217614,0.013139181162905685,0.16790739493070952,0.125,-0.04112644793775476,1.0470701659193407,0.0017026387602090834,0.04587421507145822,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,p3_star,reference,False,8,4,16000,10,False,True,0.0774894091044116,0.07633519493465428,0.0786449902861932,0.0005886888180260727,0.7754910095832748,0.047303965001367035,0.03018544410304457,64.0,0.18762778081415357,107.4470625,20.2358125,0.08832728800000002,4.9743125,,171.0,0.8529804186876864,0.8056764536863192,0.8056764536863192,1.0,-0.02820558454695856,-0.029415677256765773,-0.027026596373616485,0.0006096952853186163,0.6141000000000001,10,-0.06560316546217614,0.018026311630508843,0.013139181162905685,0.16790739493070952,0.125,-1.0470701659193407,0.04112644793775476,-0.04587421507145822,-0.0017026387602090834,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,phi_k16,learned,False,8,4,16000,8,False,True,0.07725711283129931,0.07611892092427297,0.07841021929343697,0.0005848945810092101,0.775723305856387,0.05020112809818238,0.027055984733116926,52.336375000000004,0.1287205838444566,112.09312499999999,10.349,0.11096865875,4.9738125,390.220375,82.82756354300385,0.8529804186876864,0.8056764536863192,0.8027792905895039,0.6736875,-0.02886507193934813,-0.030229403463454218,-0.027536975986731705,0.0006832019519915655,0.60784375,8,-0.07746308525833019,0.01973294137963393,0.015270646746905493,0.15511890389870378,0.125,-0.9653809755662608,0.03157667924866073,-0.054126657817600066,-0.003603486061096191,,,False,env_mean_t,True,0,-0.0002322962731122971,-0.0007281742323995032,0.0002601862885512672,0.00025446840871010416,0.5019687500000001,8,-0.004238780209072517,0.003774187662847923,0.001258932139501738,0.8653753786244753,0.75,-0.003568138042467788,0.0031869257720359783,-0.0024535755291581153,0.0020218169912695886,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,phi_k16_clock,learned,False,8,4,16000,10,False,True,0.07788557856425177,0.07673692457465223,0.07905636293216957,0.0005834217188908483,0.7750948401234345,0.05154663909506053,0.026338939469191247,57.0,0.15227424546061816,109.2148125,14.7281875,0.09538451125,4.9728125,468.0,64.0,0.8529804186876864,0.8056764536863192,0.8014337795926259,0.5,-0.02789014724912122,-0.029052653198014013,-0.026744021938066,0.0005911567441941978,0.6146,10,-0.06284262166634988,0.015373365928855208,0.012288657858161776,0.14895791894105642,0.125,-1.759321882182241,0.04405104473415524,-0.04451222477061675,-0.0029570309668779373,,,False,env_mean_t,True,0,0.0003154372978373431,-0.00027882945909709625,0.0009275338453755919,0.00030664686373174107,0.5012,10,-0.003030060121585639,0.0031376582157582595,0.0009690215868063264,0.959215671302115,0.875,-0.0022606601826537535,0.0028066252585930247,-0.0013565808282777045,0.0019713223169383126,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family,B,all,,,all,,phi_k16_cs,learned,False,8,4,16000,10,False,True,0.07728297294345975,0.07613638338661985,0.07844408957098495,0.0005850105654601009,0.7756974457442265,0.05021819570939988,0.027064777234059874,52.321875,0.12864735152122428,112.09725,10.335625,0.11098013687500001,4.9738125,390.2785,82.96374193548387,0.8529804186876864,0.8056764536863192,0.8027622229782865,0.6734375,-0.028372231745754834,-0.029548552981868852,-0.027212183013907636,0.0005978283520680064,0.615575,10,-0.06322971854262147,0.014751727945076759,0.012251808672816927,0.1422785071644363,0.125,-0.6472223204999359,0.04054657250334476,-0.04490517753368476,-0.0035728130638599392,,,False,env_mean_t,True,0,-0.00016664719879627238,-0.0005585799994332775,0.00022481411612716324,0.00020341134644856493,0.5015,10,-0.0038435615144146377,0.0029424247485372317,0.0010661587992365066,0.7010423875097819,0.625,-0.003540597353962566,0.002157610849291247,-0.0021530476113160455,0.0014557910040020943,,,False,env_mean_t,True,0
