test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_famB_only,learned,4,4,8000,4,True,True,0.15038907371661844,0.14764959341846406,0.15318492599762976,0.0014289135098070399,0.5445231707951497,0.03258955776318908,0.11779951595342936,26.74,0.5154166666666666,5.453749999999999,17.35775,0.07029439999999999,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6623226867485792,0.0,-0.0426384777687872,-0.04627558364300057,-0.03892121391836554,0.0018604925696045923,0.57125,-0.09698152874347762,-0.013097892196474276,4,False,True,0,-0.004229782557224098,-0.006787581442551981,-0.0017075400577596163,0.0013229695193710568,0.5018125,-0.011545043162128423,0.002098174839411513,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_guard,learned,4,4,8000,4,True,True,0.15447938928822258,0.15159501968882977,0.15740768131799995,0.0014684720665586917,0.5404328552235457,0.06858028931636363,0.08589909997185896,17.0,0.3125,6.449624999999999,4.04425,0.088523,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6263319551954045,0.0,-0.038548162197183045,-0.04191091852262616,-0.03514718429796631,0.001716042528918514,0.5686875,-0.08040567887196995,-0.014791665525612188,4,False,True,0,-0.00013946698561994719,-0.002381789099308662,0.002083857573597925,0.0011392269900927416,0.5035,-0.005039413823094947,0.005065193757713133,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_hgb,learned,4,4,8000,4,True,True,0.1523103391158402,0.14952134336344897,0.15513572869822384,0.0014437972110216272,0.542601905395928,0.0308370786383748,0.12147326047746537,28.404,0.5500833333333333,5.192,19.71025,0.06520390000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6640751658733934,0.0,-0.04071721236956546,-0.04438692395924591,-0.03701451483066194,0.0018819476891346984,0.5640000000000001,-0.09275809602959088,-0.012496535167098045,4,False,True,0,-0.00230851715800236,-0.004995706437148328,0.00036344439213280565,0.0013791170614660664,0.4975,-0.008628068578720558,0.003016723701177398,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_lucb,learned,4,4,8000,4,True,True,0.1504083056209165,0.14767485884949566,0.1532081406097859,0.0014285874616555279,0.5445039388908517,0.03212016921490431,0.11828813640601221,26.848,0.5176666666666665,5.440875,17.492874999999998,0.0700668,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6627920752968639,0.0,-0.04261924586448913,-0.04624753508833237,-0.0389236697810702,0.0018605297410062948,0.5713125,-0.09710711179238751,-0.012914613434670172,4,False,True,0,-0.0042105506529260305,-0.006761089207429904,-0.0016830692096846192,0.0013204773837145916,0.5015000000000001,-0.011609533290436956,0.0022203606806142488,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_noT1000,learned,4,4,8000,4,True,True,0.16896636323041822,0.16602742886170746,0.1719800889492035,0.001540632699239249,0.52594588128135,0.018694923669099806,0.1502714395613184,33.202,0.6500416666666666,4.674125,27.39,0.05914710000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6762173208426684,0.0,-0.024061188254987428,-0.027895984693168428,-0.02025850972495391,0.0019463151638159165,0.5416875,-0.059330587950260444,-0.0008686954583026817,4,False,True,0,0.01434750695657567,0.011235681711696088,0.017451605459791606,0.0016025009024215836,0.46943749999999995,0.0017317503280937666,0.026963263585057573,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_noT200,learned,4,4,8000,4,True,True,0.1503311201614815,0.14758312655612826,0.15312446067109703,0.0014287736157678674,0.5445811243502867,0.032508661046624185,0.11782245911485734,26.796,0.5165833333333332,5.444375,17.4335,0.0701341,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.662403583465144,0.0,-0.04269643132392412,-0.046338784840190786,-0.03899764763773419,0.0018599124469293711,0.571375,-0.0971023421430309,-0.013150939462331736,4,False,True,0,-0.0042877361123610175,-0.006850652802040713,-0.0017734941764501859,0.0013229863724152045,0.502125,-0.011683538983634207,0.002062809995506541,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_noambig,learned,4,4,8000,4,True,True,0.15783438422727705,0.15499883955344557,0.16071730852127075,0.0014837662455555423,0.5370778602844911,0.022548483904451133,0.13528590032282592,31.184,0.6079999999999999,4.9715,24.351125,0.06253210000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6723637606073171,0.0,-0.0351931672581286,-0.03893468421010766,-0.031383398435900746,0.001921450748590477,0.5605,-0.08371787310691253,-0.007989283056020213,4,False,True,0,0.0032155279534345025,0.0003139702821499674,0.006203783334058244,0.0015093259184340492,0.48906249999999996,-0.002766809402033687,0.009432193336222553,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_nopolicy,learned,4,4,8000,4,True,True,0.15085644629710077,0.14799913647584617,0.15370416431687772,0.001450942815788719,0.5440557982146674,0.05623626840021462,0.09462017789688616,20.018,0.37537499999999996,6.129375,7.4105,0.0812625,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6386759761115536,0.0,-0.042171105188304865,-0.04564887766027823,-0.03864107291446999,0.0017759240341414357,0.5729375000000001,-0.09069767960237551,-0.015024802312254906,4,False,True,0,-0.003762409976741765,-0.005963713943310722,-0.001576974687122857,0.00111753369924363,0.50675,-0.00636850719312497,-0.0011563127603585598,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_notrunc,learned,4,4,8000,4,True,True,0.1492973890827634,0.14650627844966949,0.1520970837213099,0.001427971418595946,0.5456148554290049,0.03775256585143506,0.11154482323132833,24.708000000000002,0.4730833333333333,5.64975,14.051,0.0734491,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6571596786603332,0.0,-0.043730162402642235,-0.047385046101408076,-0.04006905687274411,0.0018517605173090645,0.5716875,-0.09806550209767192,-0.014916867237618136,4,False,True,0,-0.005321467191079137,-0.00784853552486311,-0.0028225041914083718,0.001315628802404026,0.5050625,-0.013173323945666199,0.0010242410052997,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_onpolicy_only,learned,4,4,8000,4,True,True,0.14662461140880623,0.14389939182437955,0.14939783518202604,0.0014146327313515974,0.548287633102962,0.03090470565482974,0.1157199057539765,27.538,0.5320416666666665,5.39325,18.508499999999998,0.0679395,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6640075388569384,0.0,-0.04640294007659941,-0.05006342142005451,-0.04268763679719996,0.001886355567232398,0.5775625000000001,-0.10619950866229375,-0.013110927274909045,4,False,True,0,-0.007994244865036308,-0.010702151918758318,-0.005292722883496027,0.00139159645622726,0.5080625,-0.02084587717802424,0.0007145701696645119,4,False,True,0
