test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind,threshold
A,beta_rare_excellent_T200_cap64,rule_reservoir,beta_rare_excellent,A,200,64,3072,18127,same_horizon,7,5,True,0.6419270833333334,0.5584275081425238,0.4506078472812906,5,0.9688623860677084,0.5696614583333334,0.6835983234229537,7,0.9703002115885417,True,0.8475388997395833,0.9579312337239585,0.8245174560546875,,0.3307291666666667,0.06166294642857143,1.3577493269568799,3.8120804261918755,0.7871435307138522,est_beta_b,none,0.1
A,beta_rare_excellent_T500_cap64,phi_k16,beta_rare_excellent,A,500,64,3072,15763,same_horizon,62,51,True,0.318359375,2.660365431242095,3.166935125124793,51,0.9985066731770834,0.4664713541666667,3.3989600579300236,61,0.9994861653645833,True,0.994544921875,0.99649853515625,0.9977103678385416,,0.875,0.10800466229838711,0.9623059463552847,5.000418075310731,0.9135951278309966,f_K_over_sqrt_t,oof,0.1
A,beta_rare_excellent_T500_cap64,phi_k16_all71,beta_rare_excellent,A,500,64,3072,15763,same_horizon,71,60,True,0.9680989583333334,4.935546188050862,3.9158917719231416,60,0.9999733072916666,0.9990234375,4.120769094355526,70,0.9999969075520834,True,0.9944823404947918,0.9958744303385416,0.9978117675781251,0.9091979980468751,0.875,0.10347436179577464,0.8871001485559844,4.976650310303363,0.9135951278309966,f_K_over_sqrt_t,oof,0.1
A,beta_rare_excellent_T500_cap64,phi_k16_cs,beta_rare_excellent,A,500,64,3072,15763,same_horizon,61,50,True,0.3255208333333333,2.600978314833923,3.071631190858902,50,0.998691162109375,0.4791666666666667,3.296919479269911,60,0.9996565755208333,True,0.9949424641927084,0.996462158203125,0.997435546875,,0.875,0.1097752305327869,0.9647680972512862,5.000418075310731,0.9135951278309966,f_K_over_sqrt_t,oof,0.1
A,beta_rare_excellent_T500_cap64,phi_k16_quality,beta_rare_excellent,A,500,64,3072,15763,same_horizon,35,24,True,0.3531901041666667,1.451197551346947,1.9037272009146153,24,0.9958714192708333,0.6061197916666666,2.1802267570118126,34,0.9990549316406251,True,0.9951621907552083,0.9958714192708333,,,0.875,0.14468936011904762,1.128379980226671,4.973935549312884,0.9135951278309966,f_K_over_sqrt_t,oof,0.1
A,beta_rare_excellent_T500_cap64,rule_reservoir,beta_rare_excellent,A,500,64,3072,15763,same_horizon,7,5,True,0.5833333333333334,0.5494424143552552,0.5014118376227157,5,0.9730436197916668,0.5345052083333334,0.7316034848118386,7,0.9744685872395833,True,0.8770611165364582,0.969427490234375,0.7679472656249999,,0.3251953125,0.08761160714285714,1.4886697119074785,4.1881991099177425,0.8448324811927721,est_beta_b,none,0.1
A,beta_rare_excellent_T50_cap64,phi_k16,beta_rare_excellent,A,50,64,3072,19968,same_horizon,62,51,True,0.478515625,2.3551924572667455,2.6274124730827833,51,0.9966656494140624,0.5553385416666666,2.8308565869169766,61,0.9972930908203124,True,0.98918310546875,0.9958126220703124,0.9936090087890627,,0.5026041666666666,0.07230762768817203,0.8966402878562992,4.097240823095872,0.7907652243589743,f_K_over_t,oof,0.1
A,beta_rare_excellent_T50_cap64,phi_k16_all71,beta_rare_excellent,A,50,64,3072,19968,same_horizon,71,60,True,0.7063802083333334,3.9468202217526565,3.2524087062786746,60,0.9989949137369792,0.7620442708333334,3.436161493375552,70,0.9995668131510417,True,0.9894924316406251,0.9957909749348958,0.9940887451171875,0.948310750325521,0.5026041666666666,0.0790419600938967,0.9717794607061346,4.097240823095872,0.7907652243589743,f_K_over_t,oof,0.1
A,beta_rare_excellent_T50_cap64,phi_k16_cs,beta_rare_excellent,A,50,64,3072,19968,same_horizon,61,50,True,0.4788411458333333,2.3042395931714608,2.56011598710223,50,0.9963025716145834,0.5673828125,2.7632949745730824,60,0.997110392252604,True,0.9885530598958333,0.9954519856770833,0.9932541910807293,,0.5026041666666666,0.07349299863387977,0.9016472441452141,4.097240823095872,0.7907652243589743,f_K_over_t,oof,0.1
A,beta_rare_excellent_T50_cap64,phi_k16_quality,beta_rare_excellent,A,50,64,3072,19968,same_horizon,35,24,True,0.5035807291666666,1.7312763976837697,1.6598478227500237,24,0.99577001953125,0.6653645833333334,1.9062891189862259,34,0.9963315022786459,True,0.9884223632812501,0.99577001953125,,,0.5026041666666666,0.10883556547619046,1.0153691404601806,4.06239874564304,0.7907652243589743,f_K_over_t,oof,0.1
