level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_skewed,A,200,32,5066000,18,1,500,0.2692516058385372,0.007846447187621503,0.24753821152448655,0.021713394314050675,18.0,0.0808080808080808,32,False
env,val,beta_skewed,A,200,32,5066000,20,1,500,0.2597276431173086,0.007920930662392998,0.2350089872777462,0.024718655839562415,20.0,0.09090909090909091,32,False
env,val,beta_skewed,A,200,32,5066000,24,1,500,0.23141679659485817,0.007426742627028424,0.2067548913359642,0.024661905258893967,24.0,0.11111111111111115,32,False
env,val,beta_skewed,A,200,32,5066000,28,1,500,0.22088732743263245,0.007230460085929387,0.1902661395072937,0.030621187925338744,28.0,0.1313131313131313,32,False
env,val,beta_skewed,A,200,32,5066000,32,1,500,0.20471124520897865,0.0071029661938021744,0.1719500443339348,0.03276120087504387,32.0,0.15151515151515152,32,True
env,val,beta_skewed,A,1000,32,5072000,4,1,500,0.5512433297783136,0.008852529366732408,0.5501970286443829,0.001046301133930683,4.0,0.0020040080160320635,32,False
env,val,beta_skewed,A,1000,32,5072000,6,1,500,0.49253121250867843,0.00846431074458217,0.49150665701925755,0.0010245554894208909,6.0,0.004008016032064127,32,False
env,val,beta_skewed,A,1000,32,5072000,8,1,500,0.4517956451177597,0.00811348626389199,0.45007378539443016,0.0017218597233295441,8.0,0.006012024048096194,32,False
env,val,beta_skewed,A,1000,32,5072000,10,1,500,0.4114210173636675,0.008046292802908474,0.4095204182118177,0.0019005991518497467,10.0,0.008016032064128254,32,False
env,val,beta_skewed,A,1000,32,5072000,12,1,500,0.3853558321893215,0.00788351468769308,0.38304983560740946,0.0023059965819120405,12.0,0.010020040080160319,32,False
env,val,beta_skewed,A,1000,32,5072000,14,1,500,0.362371294349432,0.00764626336866159,0.36023880502581596,0.0021324893236160276,14.0,0.012024048096192388,32,False
env,val,beta_skewed,A,1000,32,5072000,16,1,500,0.34638003513216975,0.007498671384873801,0.34395428252220156,0.0024257526099681855,16.0,0.014028056112224454,32,False
env,val,beta_skewed,A,1000,32,5072000,18,1,500,0.3311999326944351,0.00734347373639129,0.32876942193508146,0.0024305107593536376,18.0,0.016032064128256508,32,False
env,val,beta_skewed,A,1000,32,5072000,20,1,500,0.31712158674001695,0.007248017874522023,0.3139812360703945,0.0031403506696224214,20.0,0.018036072144288574,32,False
env,val,beta_skewed,A,1000,32,5072000,24,1,500,0.2921780152320862,0.0067171153975650565,0.28916571813821795,0.0030122970938682558,24.0,0.02204408817635271,32,False
env,val,beta_skewed,A,1000,32,5072000,28,1,500,0.2766368887424469,0.0064833458268917865,0.27273096549510956,0.003905923247337341,28.0,0.026052104208416835,32,False
env,val,beta_skewed,A,1000,32,5072000,32,1,500,0.25652043291926385,0.006136064215437591,0.252647988319397,0.003872444599866867,32.0,0.030060120240480957,32,True
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,4,1,500,0.06761461699008942,0.004560324960147848,0.06563466370105743,0.0019799532890319824,4.0,0.0101010101010101,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,6,1,500,0.038459921002388,0.0026829451180208825,0.03601854193210602,0.0024413790702819825,6.0,0.0202020202020202,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,8,1,500,0.024197835087776183,0.0017645149058368576,0.021255953311920164,0.0029418817758560182,8.0,0.030303030303030293,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,10,1,500,0.019232391238212587,0.0014874756488142055,0.01423568570613861,0.004996705532073975,10.0,0.0404040404040404,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,12,1,500,0.01590771460533142,0.0012117660425647926,0.010489869952201844,0.005417844653129578,12.0,0.050505050505050504,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,14,1,500,0.013615385174751282,0.001042777035581101,0.008243939638137817,0.0053714455366134645,14.0,0.06060606060606059,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,16,1,500,0.01142539131641388,0.0008189532476043423,0.006410175681114197,0.005015215635299683,16.0,0.07070707070707072,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,18,1,500,0.010362362265586853,0.0006643414972209386,0.005041981101036072,0.005320381164550781,18.0,0.0808080808080808,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,20,1,500,0.00954156756401062,0.0005576502784087903,0.004054829001426697,0.005486738562583924,20.0,0.09090909090909091,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,24,1,500,0.009307300686836243,0.0005823457704151257,0.0030359150171279906,0.006271385669708252,24.0,0.11111111111111115,28,False
env,val,tail_b0.5_mu1.0_c1.0,B,200,32,5201000,28,1,500,0.009254853606224061,0.0005765373351303228,0.0021958470344543455,0.0070590065717697145,28.0,0.1313131313131313,28,True
