test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
robust,posterior_mean_shrunk,family_horizon,A,500,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.000824090083440145,0.0003661170398195586,0.0012997466519474982,0.00023823934380440105,0.49166666666666664,6,3000,6,-0.0007376238033228824,0.0023858039702031723,0.000607533230458872,0.2329878234180439,0.5,-0.00016603988798169662,0.002594507179009815,0.0,0.0020511831442515055,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,500,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.000575970709323883,-0.0009014071842034656,-0.00027230651328961057,0.0001605815329129237,0.5053333333333333,6,3000,6,-0.0017364627278834521,0.000584521309235686,0.00045145110825553785,0.2580730230466094,0.5,-0.0023689447921503817,0.0001466399537952697,-0.0014962068200111388,0.0,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.036898450555900734,-0.03959081815611571,-0.03425194119413694,0.0013704503841511105,0.6518333333333334,6,3000,6,-0.06820502897631292,-0.005591872135488556,0.012178790803858083,0.029090409102535495,0.03125,-0.08413656485824986,-0.01345375748066198,-0.061484051130712036,-0.018565392466882866,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0,0.0,0.0,0.0,0.5,6,3000,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0,0.0,0.0,0.0,0.5,6,3000,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,50,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03301007349994809,-0.0357468713362614,-0.03033704886505341,0.001369499345001046,0.5695,24,12000,24,-0.04410775879062295,-0.02191238820927323,0.005364679604193561,2.8137293945827023e-06,,-0.04498698616460245,-0.02250519733889817,-0.0433533797092891,-0.022806706096387165,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,50,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0005802047025451127,-0.0022016937537540798,0.0010665500141515318,0.0008358799678345774,0.5074583333333333,24,12000,24,-0.002996495275063312,0.0018360858699730865,0.001168047607466917,0.6240938120911296,,-0.002780506955343836,0.002142305511071165,-0.0027575132942705143,0.0016928187524705813,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,50,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0004222173029556871,0.0001335847658454441,0.0007229774233109006,0.00015055697332548015,0.4992916666666667,24,12000,24,0.00010223654607151815,0.0007421980598398561,0.0001546803856145872,0.011946982997258458,,0.0001582936636562407,0.0008596142773914297,0.00015036309584587194,0.0007369822751420239,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,100,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.031969659063188986,-0.03430339245750025,-0.029653898894336693,0.0011838339838789946,0.57775,24,12000,24,-0.043805141194684476,-0.020134176931693497,0.005721334488551721,1.0987436073991395e-05,,-0.04650387853662892,-0.021336151081143097,-0.04348628299306534,-0.021576475368587616,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,100,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.002219347587320953,-0.0037990793526521877,-0.000681397849759864,0.0007947360948795055,0.5070416666666667,24,12000,24,-0.005271822180094465,0.0008331270054525589,0.0014755823184075258,0.14617774460242333,,-0.0048765445359152245,0.0013187484346310423,-0.0049155052604464185,0.0006938861410948421,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,100,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0003214708597709735,-0.0003588829605684925,0.0009985561807329456,0.00034830524904184095,0.5004583333333333,24,12000,24,-0.0002769049342849525,0.0009198466538268995,0.0002892580149765397,0.27789483551683736,,-0.0002365501151918659,0.0009946417583955045,-0.0002206451685323069,0.0008925833092536777,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.030344874991957718,-0.032364034367412864,-0.02834562769506981,0.001030220317006707,0.587625,24,12000,24,-0.04166464162581297,-0.019025108358102463,0.005472034896853813,1.2182872504472032e-05,,-0.04321549627570936,-0.020101972094370625,-0.04112817498824636,-0.02029743164490016,,,False,env_mean_t,True,True,0,True,10000
