test,cell,policy,env_id,family,horizon,cap,n_states,n_decisions,search_rate,mean_oracle_I_t,mean_oracle_p_t,mean_est_I_hat,mean_est_p,auc_oracle_I_for_decision,auc_oracle_p_for_decision,auc_est_I_hat_for_decision,auc_est_p_for_decision,auc_model_p_for_decision,corr_decision_oracle_I,corr_decision_oracle_p,corr_model_p_oracle_I,spearman_model_p_oracle_I,n_inclinations,inclination_rate,auc_oracle_I_for_inclination,spearman_est_I_hat_oracle_I,spearman_est_p_oracle_p,offline_label_auc_oracle_p_new_beats_best_true,offline_label_auc_oracle_I_t,offline_label_auc_est_p_new_beats_incumbent,offline_label_auc_est_I_hat
A,beta_mostly_mediocre_T1000_cap64,phi_k16,beta_mostly_mediocre,A,1000,64,3072,2944,0.021399456521739132,0.0005452689975782998,0.014976855098639727,0.0006804842831152899,0.013861217385577843,0.5751199704688077,0.5751199704688077,0.9937631884872427,0.9947328694291553,0.033250139116157866,0.06383501818396198,0.06087801472561837,-0.02423697779426618,-0.0490044547958565,3072,0.908203125,0.4505204758636467,0.23384757521667565,0.22880336540363191,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T1000_cap64,phi_k16_all71,beta_mostly_mediocre,A,1000,64,3072,2944,0.012907608695652174,0.0005462448672440009,0.014998029557879933,0.0005747271556215427,0.012667397445488298,0.5917702032093309,0.5917702032093309,0.9949559894229725,0.9961875611258014,0.2572083167312638,0.04596064603311778,0.04569823890967964,-0.0003217948954749495,-0.022777782953526532,3072,0.7083333333333334,0.49306738076089807,0.23434285086738812,0.22942028781561333,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T1000_cap64,phi_k16_clock,beta_mostly_mediocre,A,1000,64,3072,2944,0.043478260869565216,0.00054213845028225,0.014919547625501059,0.0010031122759280298,0.017233000154699994,0.593994140625,0.593994140625,1.0,1.0,1.0,0.09413165559993464,0.09028034039199816,0.022601218210364808,0.022539667821839245,3072,1.0,,0.22961103977928723,0.22484098347373385,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T1000_cap64,phi_k16_cs,beta_mostly_mediocre,A,1000,64,3072,2944,0.016983695652173912,0.0005452689975782998,0.014976855098639727,0.0006241122774281291,0.013234895534801283,0.5621976503109882,0.5621976503109882,0.9920870767104355,0.9932964754664824,0.03180373185901868,0.05270613516628274,0.049495954821775455,-0.01933253351157641,-0.04473428592605311,3072,0.9140625,0.45026183307433315,0.23362807733398575,0.22863010675066864,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T1000_cap64,phi_k16_quality,beta_mostly_mediocre,A,1000,64,3072,2944,0.01154891304347826,0.0005467533682560456,0.015008880144769076,0.0005579889870439571,0.012484034021287666,0.5881140084899941,0.5881140084899941,0.9942995755003032,0.9956842530826764,0.18063472811805134,0.04776760750224706,0.04657868870461096,0.0007220381122196896,-0.028347559837578716,3072,0.8108723958333334,0.46286528231409324,0.2350064105202482,0.23010125308660534,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T1000_cap64,rule_reservoir,beta_mostly_mediocre,A,1000,64,3072,2944,0.043478260869565216,0.00054213845028225,0.014919547625501059,0.0010031122759280298,0.017233000154699994,0.593994140625,0.593994140625,1.0,1.0,,0.09413165559993464,0.09028034039199816,,,0,,,0.22961103977928723,0.22484098347373385,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_mostly_mediocre_T100_cap64,phi_k16,beta_mostly_mediocre,A,100,64,3072,2944,0.2686820652173913,0.003289677158889044,0.05794737182214826,0.004765461393948689,0.05205265059915435,0.6514037097561218,0.6514037097561218,0.8060123087004698,0.8028341367086644,0.674487661059187,0.2897897106612241,0.3218175113830416,0.416053501890894,0.24248263678150186,3072,0.142578125,0.7183923438838095,0.3213080617981918,0.31674331794670507,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_mostly_mediocre_T100_cap64,phi_k16_all71,beta_mostly_mediocre,A,100,64,3072,2944,0.3125,0.003135196356465747,0.0553004942258801,0.00471694451474637,0.051104249353098215,0.647523736896374,0.647523736896374,0.7907393882110328,0.7884384666609383,0.7249446855129749,0.27306408383068764,0.31052153716558567,0.38968033740667124,0.22873295367398727,3072,0.17415364583333334,0.6961611145697877,0.32844670922018676,0.32447167532382315,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_mostly_mediocre_T100_cap64,phi_k16_clock,beta_mostly_mediocre,A,100,64,3072,2944,0.34782608695652173,0.002661056124879844,0.04701708742640589,0.006812897551392254,0.07441438312902113,0.6842231750488281,0.6842231750488281,0.9978088378906249,0.9969228108723958,1.0,0.29018664206353767,0.3534710036645739,0.49495424203543603,0.29778819379732013,3072,0.2916666666666667,0.7071943523503152,0.28077282412709725,0.27376625758785883,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_mostly_mediocre_T100_cap64,phi_k16_cs,beta_mostly_mediocre,A,100,64,3072,2944,0.2686820652173913,0.003289677158889044,0.05794737182214826,0.004765461393948689,0.05205265059915435,0.6514037097561218,0.6514037097561218,0.8060123087004698,0.8028341367086644,0.6736444545963266,0.2897897106612241,0.3218175113830416,0.41759029741496284,0.24364482776966043,3072,0.14225260416666666,0.7177195732504266,0.3213080617981918,0.31674331794670507,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
