level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,tune,beta_good_common,A,1000,1000,1014000,32,1,500,0.03924330937862396,0.0012494993613112837,0.035293381929397585,0.003949927449226379,32.0,0.030060120240480957,128,False
env,tune,beta_good_common,A,1000,1000,1014000,48,1,500,0.03121227741241455,0.0010008929702132177,0.026804781436920166,0.004407495975494385,48.0,0.04609218436873748,128,False
env,tune,beta_good_common,A,1000,1000,1014000,64,1,500,0.028411630272865297,0.000961636293971445,0.022499922990798952,0.0059117072820663455,64.0,0.062124248496993974,128,False
env,tune,beta_good_common,A,1000,1000,1014000,96,1,500,0.02541495907306671,0.0009450262006611183,0.017372458696365358,0.008042500376701355,96.0,0.09418837675350701,128,False
env,tune,beta_good_common,A,1000,1000,1014000,128,1,500,0.0239764484167099,0.0009620888512412364,0.013491125226020813,0.010485323190689087,128.0,0.12625250501002006,128,True
env,tune,beta_good_common,A,1000,1000,1014000,192,1,500,0.024509748697280884,0.0010490251915115892,0.00957406747341156,0.014935681223869323,192.0,0.19038076152304614,128,False
env,tune,beta_good_common,A,1000,1000,1014000,256,1,500,0.02719262158870697,0.0011360664507816933,0.007723386764526367,0.019469234824180604,256.0,0.2545090180360722,128,False
env,tune,beta_good_common,A,1000,1000,1014000,400,1,500,0.030773975253105164,0.0012859561489656016,0.004440866589546203,0.02633310866355896,400.0,0.39879759519038066,128,False
env,tune,beta_moderately_rare,A,50,50,1017000,2,1,500,0.32514208897948266,0.007726120053835514,0.3165445706099272,0.008597518369555473,2.0,0.0,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,4,1,500,0.25358435115218164,0.007324486799400591,0.23036846962571145,0.023215881526470184,4.0,0.04166666666666666,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,8,1,500,0.20616951382160187,0.006696039888888008,0.1548483906686306,0.05132112315297127,8.0,0.125,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,12,1,500,0.19565482541918755,0.0067362282106096585,0.11277252638339996,0.08288229903578759,12.0,0.20833333333333334,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,16,1,500,0.1902922900766134,0.006595317339576647,0.0914523320198059,0.09883995805680752,16.0,0.2916666666666667,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,24,1,500,0.18080117501318455,0.006670166292587611,0.05686252349615097,0.12393865151703358,24.0,0.45833333333333326,24,True
env,tune,beta_moderately_rare,A,50,50,1017000,32,1,500,0.18423960404098033,0.006448033995993224,0.035414688348770144,0.1488249156922102,32.0,0.625,24,False
env,tune,beta_moderately_rare,A,50,50,1017000,48,1,500,0.27771380450576544,0.007695529681879894,0.0032646063566207886,0.27444919814914465,48.0,0.9583333333333335,24,False
env,tune,beta_moderately_rare,A,100,100,1020000,2,1,500,0.36201687629520896,0.006886629709077239,0.35700480826199055,0.0050120680332183835,2.0,0.0,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,4,1,500,0.2833378698527813,0.006660003138199447,0.2685529929697514,0.014784876883029938,4.0,0.02040816326530612,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,8,1,500,0.22444642648100854,0.0061558690572786475,0.19018710017204285,0.034259326308965686,8.0,0.06122448979591836,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,12,1,500,0.20050505822896958,0.006109397171744022,0.15317896324396132,0.04732609498500824,12.0,0.1020408163265306,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,16,1,500,0.18261336416006088,0.005869641692202163,0.12827293676137924,0.05434042739868164,16.0,0.1428571428571428,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,24,1,500,0.17337017339468003,0.006072601992995458,0.09411948186159134,0.07925069153308868,24.0,0.22448979591836735,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,32,1,500,0.1733107759654522,0.0062591373971401425,0.07345504707098008,0.09985572889447213,32.0,0.3061224489795919,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,48,1,500,0.1636396899521351,0.0059364258374991815,0.044306594729423526,0.11933309522271156,48.0,0.4693877551020407,48,True
env,tune,beta_moderately_rare,A,100,100,1020000,64,1,500,0.1823024027943611,0.006303840791472243,0.02861609065532684,0.15368631213903428,64.0,0.6326530612244898,48,False
env,tune,beta_moderately_rare,A,100,100,1020000,96,1,500,0.29527890373766424,0.007248913370879211,0.002072602987289429,0.2932063007503748,96.0,0.959183673469388,48,False
env,tune,beta_moderately_rare,A,200,200,1023000,2,1,500,0.39528361785411836,0.007275652921946961,0.39207311211526397,0.0032105057388544084,2.0,0.0,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,4,1,500,0.32194661036878824,0.00645358541036123,0.3136871231943369,0.00825948717445135,4.0,0.0101010101010101,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,8,1,500,0.24908664399385452,0.005749209455120215,0.23517373543977738,0.013912908554077149,8.0,0.030303030303030293,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,12,1,500,0.21676312321424485,0.005788918485878539,0.19310166174173354,0.023661461472511292,12.0,0.050505050505050504,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,16,1,500,0.18856086361408234,0.005639973563727958,0.16096456456184388,0.027596299052238465,16.0,0.07070707070707072,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,24,1,500,0.16684182077646256,0.00526919619108394,0.13363450306653976,0.03320731770992279,24.0,0.11111111111111115,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,32,1,500,0.16100776746869086,0.005327887606254718,0.11401499861478806,0.046992768853902814,32.0,0.15151515151515152,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,48,1,500,0.1610060428082943,0.005503151751491856,0.08665876793861389,0.0743472748696804,48.0,0.23232323232323226,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,64,1,500,0.16300188875198365,0.005717844791280184,0.06897530204057693,0.0940265867114067,64.0,0.31313131313131315,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,96,1,500,0.14943604803085328,0.005507810972611938,0.04523798620700836,0.1041980618238449,96.0,0.4747474747474748,96,True
env,tune,beta_moderately_rare,A,200,200,1023000,128,1,500,0.15895961484313012,0.005727017085997569,0.028752394080162048,0.13020722076296806,128.0,0.6363636363636365,96,False
env,tune,beta_moderately_rare,A,200,200,1023000,192,1,500,0.2997240885645151,0.007366569537566659,0.0019438357353210448,0.29778025282919407,192.0,0.9595959595959597,96,False
env,tune,beta_moderately_rare,A,500,500,1026000,2,1,500,0.4433141409009695,0.006898402539814901,0.44208432173728945,0.0012298191636800767,2.0,0.0,128,False
env,tune,beta_moderately_rare,A,500,500,1026000,4,1,500,0.3615785862207413,0.006392073332016382,0.3583138213455677,0.003264764875173569,4.0,0.004016064257028113,128,False
env,tune,beta_moderately_rare,A,500,500,1026000,8,1,500,0.2815112956762314,0.005825933457592237,0.27752698919177055,0.003984306484460831,8.0,0.01204819277108434,128,False
env,tune,beta_moderately_rare,A,500,500,1026000,12,1,500,0.2410839425623417,0.005468961052495065,0.23273438280820846,0.008349559754133224,12.0,0.020080321285140566,128,False
